-,00:00 - 02:00,02:00 - 04:00,04:00 - 06:00,06:00 - 08:00,08:00 - 10:00,10:00 - 12:00,12:00 - 14:00,14:00 - 16:00,16:00 - 18:00,18:00 - 20:00,20:00 - 22:00,22:00 - 00:00
Monday 2019-10-07,Giảm mạnh,Tăng nhẹ,Hmm,Hmm,Hmm,Tăng nhẹ,Hmm,Tăng tốt,Tăng ổn,Tăng ổn,Hmm,Tăng ổn
Tuesday 2019-10-08,Giảm khá,Giảm nhẹ,Tăng ổn,Hmm,Tăng nhẹ,Giảm khá,Tăng nhẹ,Giảm khá,Hmm,Tăng nhẹ,Hmm,Tăng nhẹ
Wednesday 2019-10-09,Hmm,Giảm khá,Tăng tốt,Giảm nhẹ,Hmm,Hmm,Hmm,Wow!!!,Hmm,Giảm khá,Tăng nhẹ,Giảm nhẹ
Thursday 2019-10-10,Giảm nhẹ,Hmm,Tăng nhẹ,Giảm khá,Giảm nhẹ,Hmm,Hmm,Giảm khá,Giảm nhẹ,Hmm,Hmm,Hmm
Friday 2019-10-11,Tăng nhẹ,Tăng nhẹ,Hmm,Giảm nhẹ,Hmm,Tăng ổn,Giảm mạnh,Giảm nhẹ,Tăng ổn,Giảm nhẹ,Giảm nhẹ,Hmm
Saturday 2019-10-12,Giảm nhẹ,Tăng nhẹ,Hmm,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,Hmm
Sunday 2019-10-13,Hmm,Hmm,Hmm,Hmm,Hmm,Hmm,Hmm,Tăng ổn,Hmm,Tăng ổn,Giảm nhẹ,Hmm
Monday 2019-10-14,Hmm,Giảm khá,Tăng nhẹ,Tăng nhẹ,Tăng nhẹ,Hmm,Tăng nhẹ,Hmm,Hmm,Giảm khá,Hmm,Hmm
Tuesday 2019-10-15,Tăng nhẹ,Giảm nhẹ,Hmm,Tăng nhẹ,Hmm,Hmm,Hmm,Giảm nhẹ,Hmm,Hmm,Giảm nhẹ,Giảm mạnh
Wednesday 2019-10-16,Hmm,Giảm nhẹ,Tăng nhẹ,Hmm,Giảm nhẹ,Hmm,Hmm,Hmm,Hmm,Giảm mạnh,Giảm nhẹ,Tăng nhẹ
Thursday 2019-10-17,Giảm nhẹ,Tăng ổn,Hmm,Giảm nhẹ,Hmm,Giảm nhẹ,Tăng nhẹ,Tăng tốt,Hmm,Giảm nhẹ,Hmm,Tăng nhẹ
Friday 2019-10-18,Hmm,Hmm,Tăng nhẹ,Hmm,Hmm,Giảm nhẹ,Giảm mạnh,Giảm khá,Tăng nhẹ,Hmm,Giảm nhẹ,Hmm
Saturday 2019-10-19,Hmm,Hmm,Tăng nhẹ,Giảm nhẹ,Hmm,Tăng nhẹ,Hmm,Hmm,Hmm,Tăng ổn,Tăng ổn,Giảm nhẹ
Sunday 2019-10-20,Tăng nhẹ,Hmm,Hmm,Giảm nhẹ,Giảm nhẹ,Hmm,Hmm,Giảm nhẹ,Hmm,Tăng nhẹ,Tăng ổn,Tăng nhẹ
Monday 2019-10-21,Hmm
