-,00:00 - 02:00,02:00 - 04:00,04:00 - 06:00,06:00 - 08:00,08:00 - 10:00,10:00 - 12:00,12:00 - 14:00,14:00 - 16:00,16:00 - 18:00,18:00 - 20:00,20:00 - 22:00,22:00 - 00:00
Monday 2019-10-07,Giảm khá,Tăng nhẹ,Giảm nhẹ,Hmm,Hmm,Tăng nhẹ,Hmm,Tăng ổn,Tăng ổn,Tăng ổn,Hmm,Tăng ổn
Tuesday 2019-10-08,Hmm,Giảm nhẹ,Tăng ổn,Hmm,Tăng ổn,Giảm khá,Hmm,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,Hmm,Hmm
Wednesday 2019-10-09,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,Hmm,Wow!!!,Hmm,Tăng tốt,Hmm,Giảm khá,Tăng ổn
Thursday 2019-10-10,Hmm,Tăng ổn,Tăng nhẹ,Tăng nhẹ,Giảm khá,Giảm nhẹ,Giảm nhẹ,Hmm,Giảm khá,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ
Friday 2019-10-11,Hmm,Hmm,Tăng ổn,Giảm khá,Hmm,Tăng ổn,Giảm mạnh,Hmm,Tăng nhẹ,Giảm nhẹ,Hmm,Hmm
Saturday 2019-10-12,Hmm,Hmm,Hmm,Giảm nhẹ,Tăng ổn,Hmm,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,Tăng ổn,Tăng ổn
Sunday 2019-10-13,Giảm nhẹ,Tăng nhẹ,Hmm,Tăng ổn,Tăng nhẹ,Hmm,Giảm nhẹ,Hmm,Tăng ổn,Giảm nhẹ,Tăng ổn,Tăng tốt
Monday 2019-10-14,Tăng ổn,Giảm mạnh,Tăng nhẹ,Tăng ổn,Giảm khá,Giảm khá,Tăng nhẹ,Giảm khá,Tăng ổn,Giảm khá,Tăng nhẹ,Hmm
Tuesday 2019-10-15,Hmm,Tăng nhẹ,Giảm nhẹ,Tăng ổn,Giảm nhẹ,Giảm khá,Hmm,Tăng tốt,Tăng ổn,Hmm,Hmm,Giảm mạnh
Wednesday 2019-10-16,Hmm,Giảm khá,Tăng nhẹ,Tăng nhẹ,Hmm,Giảm khá,Tăng nhẹ,Giảm nhẹ,Tăng ổn,What the *,Giảm khá,Tăng ổn
Thursday 2019-10-17,Giảm nhẹ,Hmm,Tăng nhẹ,Hmm,Tăng ổn,Giảm nhẹ,Tăng ổn,Tăng ổn,Hmm,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ
Friday 2019-10-18,Giảm nhẹ,Giảm khá,Tăng nhẹ,Hmm,Tăng nhẹ,Giảm khá,Giảm mạnh,Giảm khá,Tăng ổn,Tăng ổn,Giảm nhẹ,Hmm
Saturday 2019-10-19,Tăng nhẹ,Hmm,Tăng nhẹ,Giảm khá,Hmm,Tăng nhẹ,Hmm,Hmm,Hmm,Hmm,Hmm,Giảm nhẹ
Sunday 2019-10-20,Tăng nhẹ,Giảm khá,Hmm,Hmm,Giảm nhẹ,Hmm,Giảm nhẹ,Hmm,Hmm,Tăng nhẹ,Tăng nhẹ,Tăng nhẹ
Monday 2019-10-21,Tăng nhẹ
