-,00:00 - 02:00,02:00 - 04:00,04:00 - 06:00,06:00 - 08:00,08:00 - 10:00,10:00 - 12:00,12:00 - 14:00,14:00 - 16:00,16:00 - 18:00,18:00 - 20:00,20:00 - 22:00,22:00 - 00:00
Monday 2019-10-07,Giảm khá,Tăng nhẹ,Giảm nhẹ,Hmm,Hmm,Hmm,Hmm,Tăng nhẹ,Tăng ổn,Tăng ổn,Tăng nhẹ,Tăng ổn
Tuesday 2019-10-08,Hmm,Giảm nhẹ,Hmm,Hmm,Tăng nhẹ,Giảm nhẹ,Hmm,Giảm nhẹ,Hmm,Tăng nhẹ,Hmm,Hmm
Wednesday 2019-10-09,Hmm,Giảm nhẹ,Tăng nhẹ,Hmm,Hmm,Hmm,Hmm,Tăng nhẹ,Hmm,Giảm nhẹ,Tăng tốt,Tăng ổn
Thursday 2019-10-10,Hmm,Hmm,Hmm,Hmm,Hmm,Hmm,Hmm,Hmm,Giảm nhẹ,Giảm nhẹ,Hmm,Tăng nhẹ
Friday 2019-10-11,Hmm,Hmm,Hmm,Giảm nhẹ,Hmm,Tăng tốt,Giảm mạnh,Giảm nhẹ,Hmm,Hmm,Hmm,Hmm
Saturday 2019-10-12,Hmm,Hmm,Hmm,Giảm nhẹ,Hmm,Hmm,Hmm,Hmm,Hmm,Hmm,Tăng nhẹ,Giảm nhẹ
Sunday 2019-10-13,Hmm,Hmm,Hmm,Hmm,Hmm,Hmm,Hmm,Hmm,Hmm,Tăng nhẹ,Hmm,Hmm
Monday 2019-10-14,Hmm,Giảm khá,Hmm,Hmm,Hmm,Hmm,Tăng nhẹ,Hmm,Hmm,Giảm nhẹ,Hmm,Tăng nhẹ
Tuesday 2019-10-15,Hmm,Hmm,Hmm,Hmm,Hmm,Hmm,Hmm,Hmm,Hmm,Hmm,Giảm nhẹ,Giảm nhẹ
Wednesday 2019-10-16,Hmm,Hmm,Hmm,Hmm,Hmm,Hmm,Hmm,Hmm,Hmm,Giảm khá,Hmm,Hmm
Thursday 2019-10-17,Hmm,Hmm,Hmm,Giảm nhẹ,Hmm,Giảm nhẹ,Hmm,Tăng ổn,Hmm,Giảm nhẹ,Hmm,Hmm
Friday 2019-10-18,Hmm,Giảm nhẹ,Hmm,Hmm,Hmm,Hmm,Giảm khá,Giảm nhẹ,Hmm,Hmm,Hmm,Hmm
Saturday 2019-10-19,Hmm,Hmm,Hmm,Giảm nhẹ,Hmm,Tăng nhẹ,Hmm,Hmm,Hmm,Tăng ổn,Giảm nhẹ,Giảm nhẹ
Sunday 2019-10-20,Hmm,Giảm nhẹ,Hmm,Hmm,Hmm,Hmm,Hmm,Hmm,Hmm,Hmm,Tăng nhẹ,Tăng nhẹ
Monday 2019-10-21,Tăng nhẹ
