-,00:00 - 02:00,02:00 - 04:00,04:00 - 06:00,06:00 - 08:00,08:00 - 10:00,10:00 - 12:00,12:00 - 14:00,14:00 - 16:00,16:00 - 18:00,18:00 - 20:00,20:00 - 22:00,22:00 - 00:00
Monday 2019-10-07,Giảm khá,Tăng nhẹ,Hmm,Hmm,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,Tăng ổn,Tăng ổn,Hmm,Tăng nhẹ
Tuesday 2019-10-08,Giảm nhẹ,Hmm,Hmm,Hmm,Tăng nhẹ,Tăng tốt,Tăng nhẹ,Giảm khá,Hmm,Tăng ổn,Giảm nhẹ,Giảm khá
Wednesday 2019-10-09,Giảm khá,Hmm,Tăng nhẹ,Hmm,Giảm nhẹ,Hmm,Hmm,Tăng nhẹ,Hmm,Hmm,Tăng tốt,Hmm
Thursday 2019-10-10,Tăng nhẹ,Hmm,Tăng nhẹ,Hmm,Giảm khá,Hmm,Hmm,Giảm nhẹ,Giảm khá,Giảm nhẹ,Tăng ổn,Giảm nhẹ
Friday 2019-10-11,Hmm,Tăng nhẹ,Hmm,Hmm,Hmm,Tăng ổn,Giảm mạnh,Giảm khá,Tăng tốt,Giảm nhẹ,Hmm,Hmm
Saturday 2019-10-12,Giảm nhẹ,Hmm,Hmm,Hmm,Hmm,Hmm,Tăng nhẹ,Hmm,Giảm nhẹ,Hmm,Tăng nhẹ,Tăng ổn
Sunday 2019-10-13,Giảm nhẹ,Hmm,Hmm,Hmm,Tăng ổn,Hmm,Giảm nhẹ,Hmm,Hmm,Hmm,Hmm,Hmm
Monday 2019-10-14,Hmm,Giảm khá,Hmm,Hmm,Hmm,Tăng nhẹ,Giảm nhẹ,Hmm,Hmm,Hmm,Hmm,Tăng nhẹ
Tuesday 2019-10-15,Hmm,Hmm,Hmm,Hmm,Tăng nhẹ,Hmm,Hmm,Giảm nhẹ,Tăng nhẹ,Tăng tốt,Giảm khá,Giảm mạnh
Wednesday 2019-10-16,Hmm,Hmm,Tăng nhẹ,Hmm,Giảm khá,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,Giảm mạnh,Giảm khá,Tăng nhẹ
Thursday 2019-10-17,Giảm khá,Tăng nhẹ,Hmm,Hmm,Hmm,Giảm nhẹ,Tăng nhẹ,Tăng ổn,Hmm,Hmm,Tăng nhẹ,Tăng nhẹ
Friday 2019-10-18,Hmm,Giảm khá,Hmm,Hmm,Hmm,Hmm,Giảm khá,Giảm nhẹ,Hmm,Tăng nhẹ,Hmm,Tăng nhẹ
Saturday 2019-10-19,Hmm,Hmm,Hmm,Giảm nhẹ,Hmm,Hmm,Hmm,Hmm,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,Hmm
Sunday 2019-10-20,Hmm,Hmm,Hmm,Hmm,Hmm,Hmm,Tăng nhẹ,Hmm,Hmm,Hmm,Tăng nhẹ,Tăng nhẹ
Monday 2019-10-21,Hmm
