-,00:00 - 02:00,02:00 - 04:00,04:00 - 06:00,06:00 - 08:00,08:00 - 10:00,10:00 - 12:00,12:00 - 14:00,14:00 - 16:00,16:00 - 18:00,18:00 - 20:00,20:00 - 22:00,22:00 - 00:00
Monday 2019-10-07,Giảm mạnh,Tăng ổn,Giảm nhẹ,Hmm,Hmm,Tăng ổn,Hmm,Tăng nhẹ,Tăng ổn,Tăng ổn,Hmm,Tăng tốt
Tuesday 2019-10-08,Giảm nhẹ,Giảm nhẹ,Tăng ổn,Hmm,Tăng ổn,Hmm,Hmm,Giảm nhẹ,Hmm,Tăng nhẹ,Giảm khá,Hmm
Wednesday 2019-10-09,Hmm,Giảm khá,Tăng ổn,Tăng nhẹ,Hmm,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,Tăng nhẹ,Giảm khá,Wow!!!,Tăng nhẹ
Thursday 2019-10-10,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,Hmm,Hmm,Tăng nhẹ,Hmm,Giảm khá,Giảm nhẹ,Hmm,Tăng ổn,Hmm
Friday 2019-10-11,Hmm,Hmm,Hmm,Giảm nhẹ,Hmm,Tăng tốt,What the *,Giảm nhẹ,Hmm,Giảm nhẹ,Giảm nhẹ,Giảm nhẹ
Saturday 2019-10-12,Giảm nhẹ,Hmm,Hmm,Hmm,Tăng nhẹ,Hmm,Hmm,Hmm,Giảm nhẹ,Hmm,Hmm,Hmm
Sunday 2019-10-13,Giảm khá,Hmm,Hmm,Hmm,Tăng nhẹ,Giảm nhẹ,Hmm,Tăng nhẹ,Hmm,Tăng nhẹ,Hmm,Hmm
Monday 2019-10-14,Hmm,Giảm khá,Tăng nhẹ,Hmm,Tăng nhẹ,Hmm,Tăng nhẹ,Hmm,Hmm,Giảm nhẹ,Hmm,Tăng ổn
Tuesday 2019-10-15,Tăng nhẹ,Hmm,Hmm,Hmm,Hmm,Giảm nhẹ,Hmm,Giảm nhẹ,Tăng nhẹ,Hmm,Giảm khá,Giảm nhẹ
Wednesday 2019-10-16,Hmm,Giảm nhẹ,Hmm,Hmm,Hmm,Hmm,Giảm nhẹ,Hmm,Hmm,Giảm mạnh,Giảm nhẹ,Hmm
Thursday 2019-10-17,Hmm,Tăng nhẹ,Hmm,Giảm nhẹ,Hmm,Giảm nhẹ,Tăng nhẹ,Tăng ổn,Hmm,Hmm,Hmm,Tăng nhẹ
Friday 2019-10-18,Hmm,Giảm nhẹ,Hmm,Hmm,Hmm,Hmm,Giảm khá,Giảm khá,Tăng nhẹ,Hmm,Hmm,Tăng nhẹ
Saturday 2019-10-19,Tăng nhẹ,Hmm,Hmm,Giảm nhẹ,Hmm,Tăng nhẹ,Hmm,Tăng nhẹ,Giảm nhẹ,Hmm,Hmm,Giảm khá
Sunday 2019-10-20,Hmm,Hmm,Hmm,Hmm,Giảm nhẹ,Hmm,Hmm,Hmm,Tăng nhẹ,Hmm,Tăng nhẹ,Hmm
Monday 2019-10-21,Tăng nhẹ
