-,00:00 - 02:00,02:00 - 04:00,04:00 - 06:00,06:00 - 08:00,08:00 - 10:00,10:00 - 12:00,12:00 - 14:00,14:00 - 16:00,16:00 - 18:00,18:00 - 20:00,20:00 - 22:00,22:00 - 00:00
Monday 2019-10-07,Tăng nhẹ,Hmm,Giảm nhẹ,Giảm khá,Tăng nhẹ,Hmm,Hmm,Tăng tốt,Tăng ổn,Tăng ổn,Tăng tốt,Tăng tốt
Tuesday 2019-10-08,Giảm khá,Giảm mạnh,Tăng ổn,Tăng nhẹ,Giảm mạnh,Hmm,Giảm mạnh,Tăng ổn,Tăng nhẹ,Wow!!!,Hmm,Hmm
Wednesday 2019-10-09,Giảm nhẹ,Giảm khá,Tăng ổn,Tăng tốt,Hmm,Hmm,Tăng tốt,Tăng nhẹ,Wow!!!,Tăng ổn,What the *,Wow!!!
Thursday 2019-10-10,Hmm,Tăng ổn,Hmm,Giảm nhẹ,What the *,Tăng ổn,Giảm khá,Giảm mạnh,Giảm khá,Hmm,Tăng nhẹ,Giảm khá
Friday 2019-10-11,Tăng ổn,Wow!!!,Giảm mạnh,Tăng ổn,Tăng nhẹ,Tăng ổn,Giảm mạnh,Tăng ổn,Hmm,Tăng ổn,Giảm nhẹ,Tăng tốt
Saturday 2019-10-12,Giảm mạnh,Hmm,Tăng nhẹ,Hmm,Hmm,Hmm,Giảm khá,Hmm,Hmm,Hmm,Giảm nhẹ,Giảm khá
Sunday 2019-10-13,Tăng nhẹ,Tăng nhẹ,Giảm khá,Tăng nhẹ,Hmm,Hmm,Hmm,Giảm khá,Giảm khá,Tăng ổn,Giảm khá,Tăng nhẹ
Monday 2019-10-14,Hmm,Giảm mạnh,Tăng nhẹ,Tăng tốt,Giảm nhẹ,Tăng ổn,Tăng tốt,Giảm nhẹ,Tăng nhẹ,Giảm mạnh,Giảm nhẹ,Hmm
Tuesday 2019-10-15,Hmm,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,Tăng ổn,Giảm nhẹ,Hmm,Giảm nhẹ,Hmm,Tăng nhẹ,Giảm khá,Giảm mạnh
Wednesday 2019-10-16,Giảm mạnh,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,Giảm khá,Giảm nhẹ,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,What the *,Tăng ổn,Tăng ổn
Thursday 2019-10-17,Giảm nhẹ,Tăng tốt,Tăng nhẹ,Giảm khá,Hmm,Giảm khá,Tăng nhẹ,Tăng tốt,Tăng tốt,Tăng nhẹ,Hmm,Hmm
Friday 2019-10-18,Tăng ổn,Giảm khá,Giảm nhẹ,Tăng ổn,Tăng ổn,Giảm nhẹ,Giảm mạnh,Giảm khá,Tăng nhẹ,Tăng tốt,Giảm nhẹ,Giảm nhẹ
Saturday 2019-10-19,Hmm,Giảm khá,Tăng ổn,Giảm mạnh,Tăng nhẹ,Tăng ổn,Giảm khá,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ
Sunday 2019-10-20,Hmm,Hmm,Hmm,Hmm,Giảm khá,Tăng nhẹ,Hmm,Hmm,Giảm khá,Tăng nhẹ,Tăng ổn,Tăng nhẹ
Monday 2019-10-21,Hmm
