-,00:00 - 02:00,02:00 - 04:00,04:00 - 06:00,06:00 - 08:00,08:00 - 10:00,10:00 - 12:00,12:00 - 14:00,14:00 - 16:00,16:00 - 18:00,18:00 - 20:00,20:00 - 22:00,22:00 - 00:00
Monday 2019-10-07,Giảm mạnh,Tăng nhẹ,Hmm,Giảm khá,Hmm,Tăng nhẹ,Hmm,Tăng nhẹ,Tăng ổn,Tăng nhẹ,Hmm,Tăng tốt
Tuesday 2019-10-08,Giảm nhẹ,Giảm khá,Tăng nhẹ,Hmm,Tăng nhẹ,Giảm nhẹ,Hmm,Giảm nhẹ,Hmm,Tăng nhẹ,Giảm nhẹ,Hmm
Wednesday 2019-10-09,Hmm,Giảm nhẹ,Tăng nhẹ,Hmm,Hmm,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,Tăng tốt,Hmm
Thursday 2019-10-10,Tăng nhẹ,Giảm nhẹ,Hmm,Hmm,Hmm,Hmm,Hmm,Giảm nhẹ,Giảm khá,Hmm,Hmm,Hmm
Friday 2019-10-11,Hmm,Hmm,Hmm,Giảm nhẹ,Hmm,Tăng ổn,Giảm mạnh,Giảm nhẹ,Hmm,Hmm,Hmm,Tăng nhẹ
Saturday 2019-10-12,Giảm nhẹ,Hmm,Hmm,Tăng nhẹ,Hmm,Hmm,Tăng nhẹ,Giảm nhẹ,Hmm,Hmm,Tăng nhẹ,Giảm nhẹ
Sunday 2019-10-13,Hmm,Hmm,Hmm,Tăng nhẹ,Hmm,Hmm,Hmm,Hmm,Hmm,Tăng ổn,Hmm,Hmm
Monday 2019-10-14,Hmm,Giảm khá,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,Hmm,Tăng nhẹ,Hmm,Hmm,Giảm nhẹ,Hmm,Hmm
Tuesday 2019-10-15,Hmm,Hmm,Hmm,Tăng nhẹ,Hmm,Giảm nhẹ,Giảm nhẹ,Giảm mạnh,Tăng ổn,Hmm,Giảm nhẹ,Giảm nhẹ
Wednesday 2019-10-16,Hmm,Hmm,Hmm,Tăng nhẹ,Hmm,Hmm,Hmm,Hmm,Giảm nhẹ,Giảm mạnh,Giảm nhẹ,Hmm
Thursday 2019-10-17,Hmm,Tăng nhẹ,Hmm,Giảm nhẹ,Hmm,Giảm khá,Tăng nhẹ,Tăng tốt,Tăng nhẹ,Hmm,Hmm,Tăng ổn
Friday 2019-10-18,Hmm,Giảm nhẹ,Tăng nhẹ,Hmm,Hmm,Hmm,Giảm khá,Giảm khá,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ
Saturday 2019-10-19,Hmm,Hmm,Hmm,Giảm nhẹ,Hmm,Tăng nhẹ,Hmm,Tăng nhẹ,Hmm,Tăng nhẹ,Hmm,Tăng nhẹ
Sunday 2019-10-20,Hmm,Hmm,Hmm,Hmm,Giảm nhẹ,Hmm,Hmm,Giảm nhẹ,Hmm,Hmm,Tăng ổn,Tăng nhẹ
Monday 2019-10-21,Tăng nhẹ
