-,00:00 - 02:00,02:00 - 04:00,04:00 - 06:00,06:00 - 08:00,08:00 - 10:00,10:00 - 12:00,12:00 - 14:00,14:00 - 16:00,16:00 - 18:00,18:00 - 20:00,20:00 - 22:00,22:00 - 00:00
Monday 2019-10-07,Giảm mạnh,Tăng nhẹ,Hmm,Hmm,Hmm,Tăng nhẹ,Hmm,Tăng ổn,Tăng nhẹ,Tăng ổn,Tăng nhẹ,Tăng ổn
Tuesday 2019-10-08,Giảm khá,Giảm nhẹ,Tăng ổn,Hmm,Tăng ổn,Hmm,Hmm,Giảm khá,Hmm,Tăng nhẹ,Hmm,Hmm
Wednesday 2019-10-09,Tăng nhẹ,Hmm,Hmm,Hmm,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,Tăng tốt,Hmm,Giảm nhẹ,Tăng nhẹ,Hmm
Thursday 2019-10-10,Hmm,Tăng nhẹ,Tăng nhẹ,Hmm,Giảm nhẹ,Giảm nhẹ,Hmm,Giảm khá,Giảm khá,Tăng nhẹ,Hmm,Hmm
Friday 2019-10-11,Tăng nhẹ,Giảm nhẹ,Hmm,Giảm nhẹ,Hmm,Tăng ổn,Giảm mạnh,Giảm nhẹ,Tăng ổn,Hmm,Giảm nhẹ,Hmm
Saturday 2019-10-12,Hmm,Hmm,Hmm,Hmm,Hmm,Tăng nhẹ,Hmm,Hmm,Giảm nhẹ,Tăng nhẹ,Hmm,Giảm nhẹ
Sunday 2019-10-13,Giảm nhẹ,Hmm,Hmm,Hmm,Hmm,Hmm,Hmm,Tăng nhẹ,Hmm,Tăng nhẹ,Hmm,Tăng nhẹ
Monday 2019-10-14,Tăng nhẹ,Giảm khá,Hmm,Giảm nhẹ,Tăng nhẹ,Hmm,Tăng nhẹ,Hmm,Hmm,Giảm nhẹ,Hmm,Tăng nhẹ
Tuesday 2019-10-15,Tăng nhẹ,Giảm nhẹ,Hmm,Tăng nhẹ,Tăng nhẹ,Hmm,Hmm,Giảm nhẹ,Tăng nhẹ,Hmm,Giảm khá,Giảm nhẹ
Wednesday 2019-10-16,Giảm nhẹ,Tăng nhẹ,Hmm,Tăng ổn,Giảm khá,Hmm,Hmm,Giảm nhẹ,Giảm nhẹ,Giảm mạnh,Giảm nhẹ,Tăng nhẹ
Thursday 2019-10-17,Hmm,Tăng nhẹ,Hmm,Giảm nhẹ,Hmm,Giảm nhẹ,Tăng nhẹ,Tăng tốt,Hmm,Hmm,Hmm,Hmm
Friday 2019-10-18,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,Tăng tốt,Hmm,Hmm,Giảm mạnh,Giảm nhẹ,Hmm,Tăng nhẹ,Giảm nhẹ,Hmm
Saturday 2019-10-19,Hmm,Hmm,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,Hmm,Hmm,Giảm nhẹ,Tăng nhẹ,Hmm,Giảm nhẹ
Sunday 2019-10-20,Hmm,Hmm,Hmm,Hmm,Giảm nhẹ,Tăng nhẹ,Hmm,Hmm,Hmm,Hmm,Tăng nhẹ,Hmm
Monday 2019-10-21,Hmm
