-,00:00 - 02:00,02:00 - 04:00,04:00 - 06:00,06:00 - 08:00,08:00 - 10:00,10:00 - 12:00,12:00 - 14:00,14:00 - 16:00,16:00 - 18:00,18:00 - 20:00,20:00 - 22:00,22:00 - 00:00
Monday 2019-10-07,Giảm khá,Tăng nhẹ,Giảm nhẹ,Hmm,Hmm,Hmm,Hmm,Hmm,Tăng ổn,Tăng ổn,Giảm nhẹ,Tăng ổn
Tuesday 2019-10-08,Giảm nhẹ,Giảm nhẹ,Hmm,Hmm,Tăng nhẹ,Hmm,Hmm,Giảm nhẹ,Hmm,Hmm,Giảm khá,Hmm
Wednesday 2019-10-09,Hmm,Hmm,Hmm,Hmm,Hmm,Giảm nhẹ,Tăng nhẹ,Tăng ổn,Hmm,Giảm khá,Tăng ổn,Tăng nhẹ
Thursday 2019-10-10,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,Hmm,Hmm,Hmm,Hmm,Giảm khá,Giảm khá,Tăng ổn,Hmm,Hmm
Friday 2019-10-11,Hmm,Hmm,Hmm,Giảm khá,Hmm,Tăng ổn,Giảm mạnh,Hmm,Hmm,Hmm,Hmm,Hmm
Saturday 2019-10-12,Giảm khá,Hmm,Hmm,Tăng nhẹ,Hmm,Hmm,Hmm,Giảm khá,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,Giảm khá
Sunday 2019-10-13,Hmm,Hmm,Hmm,Hmm,Hmm,Hmm,Giảm khá,Tăng nhẹ,Hmm,Hmm,Tăng nhẹ,Tăng nhẹ
Monday 2019-10-14,Hmm,Giảm khá,Hmm,Hmm,Hmm,Hmm,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,Giảm khá,Tăng nhẹ
Tuesday 2019-10-15,Hmm,Giảm nhẹ,Hmm,Hmm,Hmm,Hmm,Hmm,Hmm,Hmm,Tăng nhẹ,Hmm,Giảm khá
Wednesday 2019-10-16,Giảm khá,Hmm,Tăng nhẹ,Hmm,Hmm,Tăng tốt,Hmm,Hmm,Tăng ổn,Giảm mạnh,Hmm,Tăng ổn
Thursday 2019-10-17,Tăng tốt,Hmm,Tăng nhẹ,Giảm nhẹ,Tăng tốt,Hmm,Tăng ổn,Giảm nhẹ,Tăng ổn,Tăng ổn,Hmm,Hmm
Friday 2019-10-18,Giảm nhẹ,Giảm mạnh,Giảm nhẹ,Giảm nhẹ,Tăng ổn,Giảm nhẹ,Hmm,Tăng tốt,Giảm mạnh,Tăng nhẹ,Hmm,Tăng ổn
Saturday 2019-10-19,Giảm khá,Hmm,Hmm,What the *,Tăng nhẹ,Hmm,Hmm,Hmm,Hmm,Giảm nhẹ,Giảm nhẹ,Giảm nhẹ
Sunday 2019-10-20,Tăng nhẹ,Giảm nhẹ,Tăng tốt,Giảm khá,Hmm,Hmm,Tăng nhẹ,Tăng nhẹ,Tăng ổn,Hmm,Tăng ổn,Hmm
Monday 2019-10-21,Tăng nhẹ
