-,00:00 - 02:00,02:00 - 04:00,04:00 - 06:00,06:00 - 08:00,08:00 - 10:00,10:00 - 12:00,12:00 - 14:00,14:00 - 16:00,16:00 - 18:00,18:00 - 20:00,20:00 - 22:00,22:00 - 00:00
Monday 2019-09-09,-,-,-,-,-,-,-,-,Khá,-,-,-
Tuesday 2019-09-10,Nhẹ,-,Nhẹ,-,Nhẹ,-,-,-,-,Nhẹ,-,Nhẹ
Wednesday 2019-09-11,-,-,-,-,-,-,-,Nhẹ,-,-,-,-
Thursday 2019-09-12,-,-,-,-,-,Khá,-,-,-,-,-,-
Friday 2019-09-13,Nhẹ,Nhẹ,-,-,-,-,-,-,-,Khá,-,-
Saturday 2019-09-14,Nhẹ,-,-,-,-,Nhẹ,-,-,-,-,Nhẹ,-
Sunday 2019-09-15,-,-,-,-,-,-,-,-,-,-,-,-
Monday 2019-09-16,-,-,-,Nhẹ,-,-,-,-,-,-,-,Khá
Tuesday 2019-09-17,-,-,-,Nhẹ,-,-,-,-,-,Nhẹ,Nhẹ,Nhẹ
Wednesday 2019-09-18,Nhẹ,Nhẹ,-,-,Mạnh,-,-,-,-,-,Wow!!!,-
Thursday 2019-09-19,Khá,-,Khá,-,-,-,Khá,-,-,-,Nhẹ,Khá
Friday 2019-09-20,Nhẹ,-,Khá,-,-,Nhẹ,-,-,-,Nhẹ,Khá,Mạnh
Saturday 2019-09-21,Nhẹ,-,-,-,Nhẹ,-,-,Nhẹ,Mạnh,Khá,-,-
Sunday 2019-09-22,Nhẹ,-,-,-,-,-,Khá,Khá,-,-,-,-
Monday 2019-09-23,-,-,-,-,Khá,Mạnh,-,-,-,-,Mạnh,-
Tuesday 2019-09-24,-,-,-,-,-,-,Nhẹ,-,Nhẹ,-,-,-
Wednesday 2019-09-25,-,-,Khá,-,Khá,-,Khá,-,Khá,-,Mạnh,-
Thursday 2019-09-26,Nhẹ,Mạnh,Nhẹ,-,-,Khá,Nhẹ,Nhẹ,Nhẹ,Khá,-,-
Friday 2019-09-27,Mạnh,-,-,-,Nhẹ,Khá,-,Khá,-,-,Nhẹ,Nhẹ
Saturday 2019-09-28,Khá,Mạnh,-,-,-,-,-,-,-,-,-,Khá
Sunday 2019-09-29,-,Nhẹ,-,-,-,-,-,-,-,-,Nhẹ,-
Monday 2019-09-30,-,Nhẹ,-,-,-,-,-,Khá,Khá,Khá,Mạnh,-
Tuesday 2019-10-01,Nhẹ,-,Khá,-,Khá,-,-,-,-,-,Khá,-
Wednesday 2019-10-02,-,-,-,-,Nhẹ,-,-,Nhẹ,-,-,-,-
Thursday 2019-10-03,-,-,Khá,-,-,Mạnh,-,Khá,-,-,-,Khá
Friday 2019-10-04,-,Nhẹ,Khá,-,Wow!!!,-,-,Mạnh,-,Wow!!!,-,Nhẹ
Saturday 2019-10-05,-,-,Nhẹ,-,Nhẹ,-,Khá,-,-,-,-,Mạnh
