-,00:00 - 01:00,01:00 - 02:00,02:00 - 03:00,03:00 - 04:00,04:00 - 05:00,05:00 - 06:00,06:00 - 07:00,07:00 - 08:00,08:00 - 09:00,09:00 - 10:00,10:00 - 11:00,11:00 - 12:00,12:00 - 13:00,13:00 - 14:00,14:00 - 15:00,15:00 - 16:00,16:00 - 17:00,17:00 - 18:00,18:00 - 19:00,19:00 - 20:00,20:00 - 21:00,21:00 - 22:00,22:00 - 23:00,23:00 - 00:00
Monday 2019-10-28,-,-,-,-,-,-,-,Mạnh,-,-,-,-,-,-,-,-,Nhẹ,Mạnh,-,-,-,-,Khá,-
Tuesday 2019-10-29,-,-,-,Nhẹ,-,-,-,Nhẹ,Nhẹ,-,Khá,Mạnh,Mạnh,-,Nhẹ,-,Khá,-,-,-,-,-,Nhẹ,-
Wednesday 2019-10-30,-,-,Nhẹ,-,-,Nhẹ,-,-,Wow!!!,-,-,-,-,-,-,Nhẹ,Nhẹ,-,Nhẹ,-,-,-,Nhẹ,-
Thursday 2019-10-31,-,Nhẹ,-,-,-,Khá,-,-,-,-,-,-,Nhẹ,-,-,-,-,-,-,Mạnh,-,-,-,-
Friday 2019-11-01,-,-,-,-,-,-,-,-,-,-,-,-,-,Nhẹ,-,-,-,Khá,-,-,-,-,-,Nhẹ
Saturday 2019-11-02,-,-,-,Nhẹ,Nhẹ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Nhẹ,Khá,-,Khá,-
Sunday 2019-11-03,-,-,-,-,-,-,-,Khá,Nhẹ,Nhẹ,-,-,-,-,-,-,-,-,-,-,-,-,Nhẹ,-
Monday 2019-11-04,-,-,-,-,-,Khá,-,-,-,-,-,-,-,Nhẹ,-,-,Nhẹ,Nhẹ,Nhẹ,-,-,-,-,-
Tuesday 2019-11-05,-,-,-,Khá,-,-,Nhẹ,-,Nhẹ,-,-,-,-,-,-,-,Nhẹ,-,-,-,-,Nhẹ,Khá,-
Wednesday 2019-11-06,-,-,-,-,-,-,-,-,-,-,-,Khá,Nhẹ,-,-,Nhẹ,-,-,-,-,-,Nhẹ,Nhẹ,-
Thursday 2019-11-07,-,-,-,-,Nhẹ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Friday 2019-11-08,-,-,-,-,Nhẹ,-,-,-,-,-,-,-,-,-,-,-,Nhẹ,-,-,-,-,-,Nhẹ,-
Saturday 2019-11-09,-,-,-,-,Nhẹ,-,-,Nhẹ,-,-,-,-,Nhẹ,-,-,-,-,-,-,-,-,-,-,-
Sunday 2019-11-10,Nhẹ,-,-,-,-,-,-,-,-,-,-,-,Khá,-,-,-,-,-,-,-,-,-,-,Mạnh
Monday 2019-11-11,-,-,-,-,-,-,-,Nhẹ,-,-,-,-,Khá,-,-,-,-,Nhẹ,-,-,-,-,-,Nhẹ
Tuesday 2019-11-12,-,-,-,-,-,-,-,-,-,-,-,-,-,Nhẹ,-,-,-,-,-,-,-,-,-,-
Wednesday 2019-11-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Nhẹ,-,-,-,-,-,-,-,-
Thursday 2019-11-14,-,-,-,-,-,-,Nhẹ,-,-,-,-,-,-,-,-,-,-,-,-,-,Nhẹ,-,-,-
Friday 2019-11-15,-,-,-,-,-,-,-,-,-,-,-,Nhẹ,-,Nhẹ,-,Khá,-,-,-,-,-,-,-,-
Saturday 2019-11-16,-,-,-,-,-,Nhẹ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sunday 2019-11-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Khá,-,-,-,Nhẹ,-,-,-,-
Monday 2019-11-18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Nhẹ
Tuesday 2019-11-19,-,-,Nhẹ,Nhẹ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Khá,-,-
