-,00:00 - 01:00,01:00 - 02:00,02:00 - 03:00,03:00 - 04:00,04:00 - 05:00,05:00 - 06:00,06:00 - 07:00,07:00 - 08:00,08:00 - 09:00,09:00 - 10:00,10:00 - 11:00,11:00 - 12:00,12:00 - 13:00,13:00 - 14:00,14:00 - 15:00,15:00 - 16:00,16:00 - 17:00,17:00 - 18:00,18:00 - 19:00,19:00 - 20:00,20:00 - 21:00,21:00 - 22:00,22:00 - 23:00,23:00 - 00:00
Monday 2019-10-28,-,-,-,-,-,Khá,-,Wow!!!,-,-,-,-,Nhẹ,-,-,-,Khá,-,-,-,-,-,Khá,-
Tuesday 2019-10-29,Nhẹ,Khá,Khá,-,-,-,-,-,Nhẹ,-,-,Khá,-,-,Wow!!!,-,-,Nhẹ,Nhẹ,-,-,-,Mạnh,-
Wednesday 2019-10-30,-,-,-,-,Nhẹ,-,Mạnh,-,-,-,Nhẹ,Khá,-,-,Wow!!!,-,Mạnh,-,-,-,-,-,Nhẹ,-
Thursday 2019-10-31,Khá,Nhẹ,-,-,Nhẹ,Mạnh,-,-,-,-,-,Mạnh,-,-,-,-,-,Wow!!!,Khá,Khá,Khá,-,Nhẹ,Mạnh
Friday 2019-11-01,-,-,-,-,-,Nhẹ,Khá,-,-,Khá,-,Mạnh,-,-,-,-,-,Nhẹ,-,-,-,Nhẹ,Khá,Khá
Saturday 2019-11-02,Mạnh,-,-,Khá,-,-,-,-,-,Khá,Nhẹ,-,Nhẹ,-,-,-,-,Nhẹ,Khá,-,-,-,Nhẹ,-
Sunday 2019-11-03,-,-,-,-,-,-,-,-,-,Nhẹ,-,-,-,-,-,-,-,-,-,Khá,-,-,Nhẹ,-
Monday 2019-11-04,-,Nhẹ,-,-,-,-,-,-,-,-,-,-,-,Nhẹ,-,-,-,-,Khá,-,Nhẹ,-,-,-
Tuesday 2019-11-05,Nhẹ,-,-,-,-,Nhẹ,-,-,Nhẹ,-,-,-,-,-,-,Nhẹ,Khá,Nhẹ,-,-,-,Khá,-,Mạnh
Wednesday 2019-11-06,-,Nhẹ,-,-,-,-,-,-,-,Nhẹ,-,-,-,-,-,Nhẹ,-,-,-,-,-,-,-,-
Thursday 2019-11-07,-,-,-,-,-,Nhẹ,Khá,-,-,-,-,-,-,-,-,-,-,-,-,-,Nhẹ,Nhẹ,-,-
Friday 2019-11-08,-,-,-,Nhẹ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Khá,-
Saturday 2019-11-09,-,-,-,-,Nhẹ,Nhẹ,-,Nhẹ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sunday 2019-11-10,-,Nhẹ,-,-,-,-,-,-,-,-,-,-,Khá,-,-,-,-,-,-,-,-,-,-,-
Monday 2019-11-11,-,-,-,Nhẹ,-,Nhẹ,-,-,-,Nhẹ,-,-,-,-,-,-,-,-,Nhẹ,-,Khá,-,-,-
Tuesday 2019-11-12,-,Nhẹ,-,Mạnh,-,-,-,-,Khá,-,-,-,-,-,-,-,Nhẹ,-,Mạnh,-,-,Khá,-,Nhẹ
Wednesday 2019-11-13,-,-,-,-,-,-,-,-,-,Khá,-,Khá,-,-,Nhẹ,Khá,Khá,-,Khá,-,-,-,-,-
Thursday 2019-11-14,Nhẹ,-,-,-,-,-,Khá,-,-,-,-,-,Khá,-,-,-,Khá,-,-,-,Khá,-,-,-
Friday 2019-11-15,-,-,-,-,-,-,-,-,-,-,-,-,-,Nhẹ,Nhẹ,-,-,-,-,Wow!!!,-,-,-,Nhẹ
Saturday 2019-11-16,Nhẹ,-,-,-,-,Nhẹ,-,-,Khá,-,Nhẹ,-,-,-,-,-,Nhẹ,-,-,-,-,-,Nhẹ,-
Sunday 2019-11-17,-,-,-,-,Nhẹ,-,Nhẹ,Khá,Nhẹ,-,-,-,-,-,-,Khá,-,-,Nhẹ,-,-,-,-,-
Monday 2019-11-18,-,-,-,-,-,-,-,Khá,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tuesday 2019-11-19,-,-,-,-,-,-,-,-,Nhẹ,-,-,-,-,Wow!!!,-,Khá,-,-,-,-,-,Khá,Nhẹ,-
Wednesday 2019-11-20,Nhẹ,-,-,-,-,-,Nhẹ,-,-,Nhẹ,-,-,-,-,-,-,-,-,-,-,-,Khá,-,-
Thursday 2019-11-21,-,-,-,-,-,Nhẹ,-,-,-,-,-,-,-,-,Nhẹ,-,-,-,-,Nhẹ,-,-,-,-
Friday 2019-11-22,-,-,Khá,-,-,-,Nhẹ,Nhẹ,-,-,-,-,-,-,Nhẹ,-,-,-,-,Khá,-,Nhẹ,Khá,-
Saturday 2019-11-23,-,Nhẹ,Nhẹ,-,-,-,-,-,Khá,-,-,-,-,-,-,-,-,-,Nhẹ,-,Khá,Khá,Khá,Khá
Sunday 2019-11-24,-,-,-,Nhẹ,-,Khá,-,-,-,-,-,-,-,-,-,Mạnh,-,-,Nhẹ,-,-,-,-,Nhẹ
Monday 2019-11-25,Khá,-,-,-,-,-,-,-,-,-,-,Khá,-,-,-,Nhẹ,Mạnh,Mạnh,-,Mạnh,-,-,Wow!!!,-
Tuesday 2019-11-26,-,-,-,-,-,-,-,-,Khá,-,Khá,-,Khá,-,-,-,-,-,-,-,-,-,-,-
Wednesday 2019-11-27,-,-,-,-,-,-,Nhẹ,Wow!!!,-,-,-,-,-,Khá,-,-,-,-,Mạnh,Nhẹ,Khá,-,Khá,Khá
Thursday 2019-11-28,-,-,-,-,-,-,-,Khá,-,Nhẹ,-,-,Khá,Mạnh,-,-,-,-,Khá,Nhẹ,-,-,-,Nhẹ
Friday 2019-11-29,-,-,-,-,-,-,-,Khá,-,-,Nhẹ,-,-,-,-,-,Khá,-,-,-,-,-,-,-
Saturday 2019-11-30,-,-,-,Nhẹ,-,-,-,Nhẹ,-,-,-,-,-,-,-,-,-,-,-,Nhẹ,-,-,Nhẹ,-
Sunday 2019-12-01,-,-,-,-,Khá,-,-,-,-,-,-,Nhẹ,-,-,-,-,-,Khá,Khá,Mạnh,-,-,-,Nhẹ
Monday 2019-12-02,-
