-,00:00 - 02:00,02:00 - 04:00,04:00 - 06:00,06:00 - 08:00,08:00 - 10:00,10:00 - 12:00,12:00 - 14:00,14:00 - 16:00,16:00 - 18:00,18:00 - 20:00,20:00 - 22:00,22:00 - 00:00
Monday 2019-08-19,-,-,Nhẹ,-,-,-,Nhẹ,-,Khá,Khá,-,-
Tuesday 2019-08-20,Khá,-,-,-,-,-,Nhẹ,-,-,Nhẹ,-,-
Wednesday 2019-08-21,Khá,-,Khá,-,-,-,-,-,-,-,Khá,Khá
Thursday 2019-08-22,-,-,-,-,-,-,-,-,Nhẹ,-,Mạnh,-
Friday 2019-08-23,-,-,-,-,-,Khá,Khá,Khá,-,Nhẹ,-,-
Saturday 2019-08-24,-,-,-,Nhẹ,-,-,-,-,-,-,-,Nhẹ
Sunday 2019-08-25,-,-,-,-,-,-,-,-,Nhẹ,Nhẹ,-,-
Monday 2019-08-26,-,-,-,Mạnh,-,-,Khá,-,-,Nhẹ,-,-
Tuesday 2019-08-27,-,-,-,-,-,Nhẹ,-,-,-,Khá,Khá,-
Wednesday 2019-08-28,-,-,Nhẹ,-,-,-,Nhẹ,-,-,-,-,-
Thursday 2019-08-29,-,-,Khá,-,-,-,-,-,Khá,-,-,Nhẹ
Friday 2019-08-30,Nhẹ,Khá,-,-,-,Khá,-,Mạnh,-,Khá,-,-
Saturday 2019-08-31,-,Khá,-,-,Nhẹ,-,-,Nhẹ,-,-,-,-
Sunday 2019-09-01,-,-,Khá,-,-,-,-,-,-,-,-,-
Monday 2019-09-02,-,Khá,Nhẹ,-,-,-,-,-,-,-,Mạnh,Khá
Tuesday 2019-09-03,-,-,-,Nhẹ,-,Khá,Nhẹ,Mạnh,-,-,-,-
Wednesday 2019-09-04,Nhẹ,-,-,-,-,-,-,-,Nhẹ,-,-,-
Thursday 2019-09-05,-,-,-,Nhẹ,Mạnh,-,-,Nhẹ,-,-,Khá,-
Friday 2019-09-06,-,-,-,-,-,-,-,-,Nhẹ,-,-,-
Saturday 2019-09-07,-,-,-,Nhẹ,Nhẹ,-,-,Nhẹ,-,-,-,Khá
Sunday 2019-09-08,-,-,-,-,-,Khá,-,-,-,-,Nhẹ,Mạnh
Monday 2019-09-09,-,-,-,Nhẹ,-,-,-,-,Mạnh,-,Nhẹ,-
Tuesday 2019-09-10,-,-,Khá,-,Nhẹ,-,-,-,-,-,-,Nhẹ
Wednesday 2019-09-11,-,-,-,Nhẹ,-,-,-,-,Nhẹ,-,-,-
Thursday 2019-09-12,-,Nhẹ,-,-,-,-,-,Khá,-,-,-,-
Friday 2019-09-13,-,-,-,-,-,-,-,-,-,-,-,-
Saturday 2019-09-14,-,-,-,-,Nhẹ,Khá,Nhẹ,Khá,-,-,-,Khá
Sunday 2019-09-15,-,-,-,-,Nhẹ,-,Nhẹ,-,-,Khá,-,-
Monday 2019-09-16,-,-,-,-,Nhẹ,-,-,-,-,-,-,-
Tuesday 2019-09-17,-,-,Khá,-,-,-,-,Nhẹ,-,Khá,-,Mạnh
Wednesday 2019-09-18,-,-,-,Nhẹ,Khá,-,Khá,-,Khá,-,Khá,Mạnh
Thursday 2019-09-19,-,Khá,Nhẹ,-,Mạnh,-,Khá,Khá,-,-,-,Khá
Friday 2019-09-20,Khá,-,Khá,-,-,Nhẹ,-,Nhẹ,-,Nhẹ,-,-
Saturday 2019-09-21,-,Khá,Khá,-,Nhẹ,-,-,-,-,-,-,Khá
Sunday 2019-09-22,-,Nhẹ,-,-,-,-,Nhẹ,-,-,-,-,-
Monday 2019-09-23,-,-,Nhẹ,-,-,-,-,Nhẹ,-,-,-,-
Tuesday 2019-09-24,-,Khá,-,-,-,Nhẹ,Nhẹ,Wow!!!,-,Mạnh,-,-
Wednesday 2019-09-25,-,-,Khá,Khá,Khá,-,-,-,Wow!!!,-,Nhẹ,Nhẹ
Thursday 2019-09-26,-,Mạnh,-,Nhẹ,-,Nhẹ,-,-,-,-,-,-
Friday 2019-09-27,Mạnh,-,Nhẹ,-,-,-,-,-,Nhẹ,-,-,Khá
Saturday 2019-09-28,-,Khá,-,Khá,-,-,-,-,-,-,-,Nhẹ
Sunday 2019-09-29,Nhẹ,-,-,Khá,Nhẹ,-,-,Nhẹ,-,-,-,Mạnh
Monday 2019-09-30,-,-,Khá,-,Nhẹ,-,-,Nhẹ,Khá,-,Khá,Nhẹ
Tuesday 2019-10-01,Nhẹ,-,Nhẹ,Nhẹ,Khá,Nhẹ,-,-,-,Nhẹ,-,Mạnh
Wednesday 2019-10-02,-,Nhẹ,-,-,-,Nhẹ,-,Khá,Khá,-,Nhẹ,Nhẹ
Thursday 2019-10-03,Nhẹ,-,-,Nhẹ,-,Nhẹ,-,Nhẹ,-,-,-,Mạnh
Friday 2019-10-04,-,-,Khá,-,-,-,Nhẹ,-,-,-,Khá,-
Saturday 2019-10-05,-,-,Nhẹ,-,-,-,-,-,-,-,-,Khá
Sunday 2019-10-06,-,-,-,-,-,-,-,-,Nhẹ,Wow!!!,-,Khá
Monday 2019-10-07,Nhẹ,-,-,-,Nhẹ,-,-,Khá,Khá,Khá,Mạnh,Mạnh
Tuesday 2019-10-08,-,-,Nhẹ,-,-,-,-,Nhẹ,Nhẹ,Wow!!!,-,-
Wednesday 2019-10-09,-,-,Khá,Mạnh,-,-,Mạnh,-,Wow!!!,Nhẹ,-,Wow!!!
Thursday 2019-10-10,-,Khá,-,-,-,Khá,-,-,-,-,Nhẹ,-
Friday 2019-10-11,Nhẹ,Wow!!!,-,Khá,Nhẹ,Nhẹ,-,Nhẹ,-,Khá,-,Khá
Saturday 2019-10-12,-,-,Nhẹ,-,-,-,-,-,-,-,-,-
Sunday 2019-10-13,Nhẹ,Nhẹ,-,Nhẹ,-,-,-,-,-,Khá,-,Nhẹ
Monday 2019-10-14,-,-,-,Khá,-,Khá,Khá,-,-,-,-,-
Tuesday 2019-10-15,-,-,-,-,Khá,-,-,-,-,-,-,-
Wednesday 2019-10-16,-,-,-,-,-,-,-,-,Nhẹ,-,Khá,Khá
Thursday 2019-10-17,-,Mạnh,Nhẹ,-,-,-,Nhẹ,Khá,Khá,-,-,-
Friday 2019-10-18,Khá,-,-,Khá,Nhẹ,-,-,-,Nhẹ,Khá,-,-
Saturday 2019-10-19,-,-,Khá,-,Nhẹ,Khá,-,Nhẹ,Nhẹ,-,Nhẹ,-
Sunday 2019-10-20,-,-,-,-,-,Nhẹ,-,-,-,-,Nhẹ,Nhẹ
Monday 2019-10-21,Khá,-,-,Mạnh,-,Nhẹ,Mạnh,-,-,Nhẹ,-,Nhẹ
Tuesday 2019-10-22,-,-,Nhẹ,Khá,Khá,-,-,Khá,-,Nhẹ,Khá,-
Wednesday 2019-10-23,-,-,-,Nhẹ,-,-,-,-,Mạnh,-,-,Mạnh
Thursday 2019-10-24,Khá,-,-,Mạnh,-,Khá,-,Khá,-,Khá,-,Khá
Friday 2019-10-25,-,-,-,-,-,-,Khá,-,Khá,-,-,Mạnh
Saturday 2019-10-26,Nhẹ,-,-,-,Mạnh,-,-,-,Khá,-,-,-
Sunday 2019-10-27,Khá,-,Nhẹ,-,-,-,Khá,-,-,-,-,-
Monday 2019-10-28,Khá
