-,00:00 - 01:00,01:00 - 02:00,02:00 - 03:00,03:00 - 04:00,04:00 - 05:00,05:00 - 06:00,06:00 - 07:00,07:00 - 08:00,08:00 - 09:00,09:00 - 10:00,10:00 - 11:00,11:00 - 12:00,12:00 - 13:00,13:00 - 14:00,14:00 - 15:00,15:00 - 16:00,16:00 - 17:00,17:00 - 18:00,18:00 - 19:00,19:00 - 20:00,20:00 - 21:00,21:00 - 22:00,22:00 - 23:00,23:00 - 00:00
Monday 2019-10-28,-,-,-,-,Khá,Khá,-,Wow!!!,Khá,-,-,Nhẹ,-,-,Khá,-,-,Khá,-,-,-,-,Khá,-
Tuesday 2019-10-29,-,Khá,Khá,-,Mạnh,-,-,Nhẹ,-,-,-,Khá,-,-,Mạnh,-,-,-,Nhẹ,-,-,-,Khá,-
Wednesday 2019-10-30,-,-,-,Khá,-,Khá,Nhẹ,-,-,-,-,-,Nhẹ,-,Wow!!!,-,-,-,-,Nhẹ,-,-,-,-
Thursday 2019-10-31,Khá,-,Mạnh,Nhẹ,-,Khá,-,-,-,-,Nhẹ,-,Nhẹ,-,-,Nhẹ,-,Khá,Nhẹ,-,Nhẹ,-,-,Khá
Friday 2019-11-01,-,-,-,-,Nhẹ,-,Nhẹ,-,-,Nhẹ,-,Khá,-,-,-,Khá,-,-,Nhẹ,-,-,-,-,Nhẹ
Saturday 2019-11-02,-,Nhẹ,-,Khá,-,-,Nhẹ,-,-,Mạnh,Khá,-,-,-,-,-,-,Nhẹ,-,Nhẹ,-,Khá,Nhẹ,-
Sunday 2019-11-03,-,-,-,-,Khá,-,Nhẹ,-,Nhẹ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Monday 2019-11-04,-,-,-,-,-,Nhẹ,Nhẹ,-,-,-,-,-,-,-,-,-,-,Khá,-,-,Nhẹ,-,-,-
Tuesday 2019-11-05,Khá,-,-,-,-,-,Nhẹ,-,Nhẹ,-,-,-,-,-,-,-,Khá,-,-,Nhẹ,-,Nhẹ,-,-
Wednesday 2019-11-06,-,-,-,-,-,-,-,-,-,-,-,Nhẹ,-,-,-,-,-,-,Nhẹ,-,-,-,-,-
Thursday 2019-11-07,-,-,-,-,Nhẹ,-,-,-,-,-,-,-,-,-,-,-,-,-,Nhẹ,-,-,-,-,-
Friday 2019-11-08,-,-,-,-,-,Nhẹ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Saturday 2019-11-09,-,-,-,-,Nhẹ,-,-,-,Nhẹ,-,-,-,-,Nhẹ,-,-,-,-,-,-,-,-,-,-
Sunday 2019-11-10,-,-,-,-,-,-,-,-,-,-,-,-,Khá,-,-,-,-,-,-,-,-,-,-,Khá
Monday 2019-11-11,Khá,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mạnh,-,-,-
Tuesday 2019-11-12,Nhẹ,Nhẹ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Nhẹ,Khá,Mạnh,-,-,Khá,-,Nhẹ
Wednesday 2019-11-13,-,-,-,Khá,-,Khá,-,-,-,-,-,-,-,-,Mạnh,Khá,-,-,-,-,-,-,-,-
Thursday 2019-11-14,-,Nhẹ,-,-,-,-,Nhẹ,-,-,-,-,-,-,-,-,-,-,-,-,-,Khá,-,-,-
Friday 2019-11-15,Nhẹ,-,-,-,-,-,Nhẹ,-,-,-,-,-,-,-,-,Khá,-,-,-,-,-,-,Nhẹ,-
Saturday 2019-11-16,-,-,-,-,-,Khá,-,-,Nhẹ,-,-,-,-,-,-,-,-,-,-,-,Khá,-,-,-
Sunday 2019-11-17,-,-,-,-,-,-,-,-,-,-,-,-,Nhẹ,-,-,Khá,-,Khá,-,Nhẹ,-,-,-,-
Monday 2019-11-18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tuesday 2019-11-19,-,-,Nhẹ,-,-,-,-,-,-,-,-,Nhẹ,-,Nhẹ,-,Khá,-,-,-,-,-,Khá,-,-
Wednesday 2019-11-20,-,-,-,-,Nhẹ,-,-,-,Nhẹ,Khá,-,-,-,-,-,-,-,-,Khá,-,-,Khá,-,-
Thursday 2019-11-21,Nhẹ,-,-,-,-,-,Nhẹ,-,Nhẹ,-,-,-,-,-,-,-,-,-,-,Khá,-,-,-,-
Friday 2019-11-22,-,-,Khá,-,-,Nhẹ,-,Khá,-,-,-,-,-,-,Khá,-,-,-,Nhẹ,-,-,Mạnh,Khá,-
Saturday 2019-11-23,Khá,-,-,Nhẹ,-,-,-,-,-,-,Khá,-,Nhẹ,-,-,-,-,Nhẹ,-,-,Nhẹ,Mạnh,-,-
Sunday 2019-11-24,-,-,-,-,-,Nhẹ,Nhẹ,-,-,-,-,-,-,-,-,-,Khá,-,-,-,-,-,-,Khá
