-,00:00 - 01:00,01:00 - 02:00,02:00 - 03:00,03:00 - 04:00,04:00 - 05:00,05:00 - 06:00,06:00 - 07:00,07:00 - 08:00,08:00 - 09:00,09:00 - 10:00,10:00 - 11:00,11:00 - 12:00,12:00 - 13:00,13:00 - 14:00,14:00 - 15:00,15:00 - 16:00,16:00 - 17:00,17:00 - 18:00,18:00 - 19:00,19:00 - 20:00,20:00 - 21:00,21:00 - 22:00,22:00 - 23:00,23:00 - 00:00
Monday 2019-10-28,-,-,Khá,-,Khá,Khá,-,Wow!!!,-,-,-,-,-,-,Khá,-,Nhẹ,-,-,-,-,-,Mạnh,-
Tuesday 2019-10-29,-,-,-,-,-,-,-,Khá,-,-,-,Nhẹ,-,-,Wow!!!,-,-,Khá,-,-,-,Khá,Nhẹ,-
Wednesday 2019-10-30,-,-,-,Khá,-,Khá,-,-,-,-,-,-,-,-,Wow!!!,-,-,-,-,Nhẹ,-,-,-,-
Thursday 2019-10-31,-,-,Nhẹ,Nhẹ,-,Khá,-,-,-,-,-,-,Nhẹ,-,-,-,-,-,Khá,Mạnh,-,-,-,Nhẹ
Friday 2019-11-01,Nhẹ,Nhẹ,-,-,-,-,-,-,-,-,-,-,-,-,-,Nhẹ,Nhẹ,-,Nhẹ,-,-,-,-,-
Saturday 2019-11-02,-,-,-,-,-,-,Nhẹ,-,-,Nhẹ,Khá,-,-,-,-,Nhẹ,-,-,Nhẹ,Nhẹ,-,-,Khá,Mạnh
Sunday 2019-11-03,-,-,-,-,-,-,-,Khá,-,-,Khá,-,-,-,-,-,-,-,-,Nhẹ,Nhẹ,-,Nhẹ,-
Monday 2019-11-04,-,-,-,-,-,-,-,-,-,Khá,-,-,-,-,-,-,-,-,Nhẹ,-,-,Nhẹ,-,-
Tuesday 2019-11-05,Khá,Khá,-,-,Khá,-,Nhẹ,-,Khá,-,-,-,Nhẹ,-,-,Nhẹ,Mạnh,Mạnh,-,-,-,Khá,Mạnh,-
Wednesday 2019-11-06,-,-,Khá,-,-,-,-,Khá,-,-,Mạnh,-,-,Nhẹ,-,Khá,-,-,Nhẹ,-,-,Khá,-,-
Thursday 2019-11-07,-,-,Nhẹ,-,-,Mạnh,-,-,Khá,-,-,Nhẹ,-,-,Khá,Khá,-,-,-,-,Mạnh,Wow!!!,-,-
Friday 2019-11-08,Khá,-,Khá,-,Nhẹ,-,-,-,-,Nhẹ,Khá,-,Nhẹ,Nhẹ,-,-,-,-,-,-,-,-,-,-
Saturday 2019-11-09,-,Khá,-,-,Nhẹ,-,-,-,-,-,-,-,-,Khá,-,-,-,Nhẹ,-,-,-,-,-,-
Sunday 2019-11-10,-,-,-,-,-,-,-,-,-,-,-,-,Nhẹ,-,-,Khá,-,-,-,-,-,Khá,-,-
Monday 2019-11-11,Nhẹ,-,-,-,Nhẹ,Nhẹ,Khá,Khá,-,Khá,Nhẹ,-,-,-,-,-,-,Khá,Khá,-,-,Nhẹ,-,Khá
Tuesday 2019-11-12,-,Khá,-,-,Wow!!!,-,-,Khá,-,-,-,Nhẹ,Mạnh,-,-,Khá,-,-,-,-,-,Khá,-,Mạnh
Wednesday 2019-11-13,Nhẹ,-,-,Khá,-,-,-,-,-,-,Khá,-,-,-,Khá,Khá,-,Nhẹ,-,Nhẹ,-,-,-,-
Thursday 2019-11-14,-,-,-,-,-,-,Nhẹ,-,-,-,-,-,-,Nhẹ,Mạnh,-,Nhẹ,-,-,Khá,Wow!!!,-,-,-
Friday 2019-11-15,Mạnh,-,Khá,-,-,Mạnh,-,-,-,-,Khá,Khá,Nhẹ,Nhẹ,-,Mạnh,-,-,Khá,Nhẹ,-,-,Khá,Nhẹ
Saturday 2019-11-16,Khá,-,-,-,Khá,Mạnh,Khá,-,-,-,-,-,Nhẹ,-,Mạnh,-,-,Nhẹ,-,-,-,-,Nhẹ,-
Sunday 2019-11-17,-,-,-,-,Nhẹ,-,-,Khá,-,-,-,-,-,Nhẹ,-,-,-,-,-,-,-,Nhẹ,Nhẹ,-
Monday 2019-11-18,-,-,-,-,-,Mạnh,Khá,-,-,-,-,-,-,-,-,Khá,-,-,-,-,Khá,-,-,-
Tuesday 2019-11-19,-,-,-,Khá,-,-,-,-,-,-,-,Nhẹ,-,-,-,Khá,-,-,-,-,-,Nhẹ,-,-
Wednesday 2019-11-20,-,-,Khá,-,Khá,-,-,-,-,-,-,-,-,-,-,-,-,-,Nhẹ,Mạnh,-,Khá,-,-
Thursday 2019-11-21,Nhẹ,-,-,Nhẹ,Nhẹ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Nhẹ,-
Friday 2019-11-22,-,-,Nhẹ,-,Nhẹ,-,-,Khá,-,-,-,Nhẹ,-,-,Khá,-,-,-,-,Nhẹ,-,Wow!!!,-,Khá
Saturday 2019-11-23,-,Nhẹ,Mạnh,-,-,-,-,-,-,Nhẹ,-,-,-,-,-,-,-,Khá,-,Wow!!!,-,Mạnh,-,Khá
Sunday 2019-11-24,-,-,-,Mạnh,-,-,Khá,-,-,-,-,-,Khá,-,-,Mạnh,Khá,-,-,-,-,-,-,Khá
Monday 2019-11-25,Mạnh,-,-,-,Nhẹ,-,-,Nhẹ,-,Mạnh,Khá,-,-,Mạnh,Mạnh,-,Nhẹ,Mạnh,-,Mạnh,-,-,-,-
Tuesday 2019-11-26,-,Wow!!!,-,-,Nhẹ,Nhẹ,-,Nhẹ,Khá,Khá,-,-,Khá,-,Khá,-,-,-,Khá,-,-,Khá,-,-
Wednesday 2019-11-27,-,-,-,-,Khá,Nhẹ,Khá,-,Khá,Khá,-,Khá,-,Nhẹ,-,-,-,Khá,Mạnh,Khá,-,Khá,-,Nhẹ
Thursday 2019-11-28,-,-,Nhẹ,-,Nhẹ,-,-,Nhẹ,-,-,-,-,-,Khá,-,-,-,-,Nhẹ,-,Nhẹ,Khá,Khá,-
Friday 2019-11-29,-,-,-,-,-,-,Nhẹ,Khá,-,-,-,-,-,-,Nhẹ,-,Nhẹ,-,Nhẹ,Khá,-,Nhẹ,-,-
Saturday 2019-11-30,-,-,-,Nhẹ,-,-,Nhẹ,-,-,-,-,-,Nhẹ,-,Nhẹ,-,-,-,-,Nhẹ,-,-,-,Khá
Sunday 2019-12-01,-,-,-,-,Nhẹ,-,-,-,-,-,-,Nhẹ,-,Khá,-,-,Nhẹ,Mạnh,Mạnh,Mạnh,Nhẹ,-,-,-
Monday 2019-12-02,Mạnh
