-,00:00 - 01:00,01:00 - 02:00,02:00 - 03:00,03:00 - 04:00,04:00 - 05:00,05:00 - 06:00,06:00 - 07:00,07:00 - 08:00,08:00 - 09:00,09:00 - 10:00,10:00 - 11:00,11:00 - 12:00,12:00 - 13:00,13:00 - 14:00,14:00 - 15:00,15:00 - 16:00,16:00 - 17:00,17:00 - 18:00,18:00 - 19:00,19:00 - 20:00,20:00 - 21:00,21:00 - 22:00,22:00 - 23:00,23:00 - 00:00
Monday 2019-10-28,-,-,-,-,-,-,-,Mạnh,-,-,-,-,-,-,Nhẹ,-,-,Khá,-,-,-,-,Nhẹ,-
Tuesday 2019-10-29,-,-,-,-,-,-,-,Nhẹ,-,-,-,-,-,-,Khá,-,-,Nhẹ,Nhẹ,-,-,-,-,-
Wednesday 2019-10-30,Nhẹ,-,-,-,-,Nhẹ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Thursday 2019-10-31,-,-,-,-,-,Nhẹ,-,-,-,-,-,-,-,-,-,-,-,-,-,Khá,-,-,-,-
Friday 2019-11-01,Nhẹ,-,-,-,-,-,Khá,-,Nhẹ,Wow!!!,-,Nhẹ,-,-,-,Nhẹ,-,Khá,-,-,-,Khá,-,-
Saturday 2019-11-02,-,-,-,-,-,-,Nhẹ,Khá,-,-,-,-,-,-,Nhẹ,-,-,Nhẹ,-,Nhẹ,-,-,-,-
Sunday 2019-11-03,-,-,Nhẹ,-,-,-,Khá,-,Nhẹ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Monday 2019-11-04,-,-,-,-,-,-,-,-,-,-,-,-,Nhẹ,-,-,Nhẹ,-,-,-,-,-,-,-,-
Tuesday 2019-11-05,-,-,-,Khá,-,-,Wow!!!,Wow!!!,-,-,-,-,-,-,-,-,Khá,-,-,Nhẹ,Nhẹ,-,-,-
Wednesday 2019-11-06,Mạnh,-,-,Khá,Khá,-,-,-,-,Nhẹ,-,-,-,-,-,Nhẹ,-,-,-,-,-,-,-,-
Thursday 2019-11-07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Nhẹ,-,Nhẹ,-,Nhẹ
Friday 2019-11-08,-,Nhẹ,-,-,-,-,-,-,-,Khá,Nhẹ,-,-,-,-,-,-,Nhẹ,-,-,-,-,Nhẹ,-
Saturday 2019-11-09,Nhẹ,-,-,-,Nhẹ,-,-,-,Nhẹ,-,-,Nhẹ,-,-,-,-,-,-,-,-,-,-,-,-
Sunday 2019-11-10,-,-,-,-,-,-,-,-,Mạnh,-,-,-,Nhẹ,-,Nhẹ,-,Nhẹ,Nhẹ,Khá,-,-,-,Nhẹ,-
Monday 2019-11-11,-,Nhẹ,Khá,-,Khá,-,-,-,-,-,-,-,-,-,Nhẹ,Nhẹ,-,-,-,-,Mạnh,Nhẹ,-,Nhẹ
Tuesday 2019-11-12,Nhẹ,-,-,-,-,-,Khá,Nhẹ,-,Khá,-,-,-,Khá,-,-,-,-,-,-,-,-,-,Khá
Wednesday 2019-11-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Nhẹ,-,-,-,-,-,-,-
Thursday 2019-11-14,-,-,-,-,-,-,Nhẹ,-,-,-,-,-,-,-,-,-,Nhẹ,-,-,-,Khá,-,-,-
Friday 2019-11-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Nhẹ,-,-,-,Nhẹ,Nhẹ,-,-,Khá
Saturday 2019-11-16,-,-,-,-,-,Khá,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sunday 2019-11-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Nhẹ,-,-,-,-,-,-,-,-
Monday 2019-11-18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Nhẹ,-,-,-
Tuesday 2019-11-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Khá,-,-,-,-,-,-,Nhẹ,Nhẹ
Wednesday 2019-11-20,-,Nhẹ,-,-,-,Khá,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Khá,-,-
Thursday 2019-11-21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Nhẹ,-,-,-,-
Friday 2019-11-22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Khá,-,-,-,-,Nhẹ,-,Nhẹ,Khá,-
Saturday 2019-11-23,-,Khá,Mạnh,-,-,-,-,-,Nhẹ,-,-,-,-,Nhẹ,Nhẹ,-,-,Khá,-,-,-,Khá,-,Nhẹ
Sunday 2019-11-24,Nhẹ,-,-,Nhẹ,-,-,Nhẹ,-,-,-,-,-,-,Nhẹ,-,Nhẹ,-,-,Khá,-,-,-,-,Nhẹ
Monday 2019-11-25,Nhẹ,-,-,-,-,-,-,-,-,-,-,-,-,Khá,Khá,Nhẹ,Nhẹ,Khá,-,Khá,-,Nhẹ,Nhẹ,-
Tuesday 2019-11-26,-,-,-,-,Nhẹ,-,-,-,-,-,Khá,-,-,-,-,-,-,Khá,-,-,-,Nhẹ,-,-
Wednesday 2019-11-27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Nhẹ,Khá,Nhẹ,-,-,-,Nhẹ
Thursday 2019-11-28,Khá,-,Nhẹ,-,-,-,Nhẹ,Nhẹ,-,-,-,-,-,Nhẹ,-,-,-,-,-,-,-,-,Khá,-
Friday 2019-11-29,-,-,-,-,-,-,Nhẹ,Nhẹ,-,-,-,-,-,-,-,-,Nhẹ,-,-,-,Nhẹ,-,Nhẹ,-
Saturday 2019-11-30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Nhẹ,-,-,-,-
Sunday 2019-12-01,-,-,-,-,-,-,-,-,-,-,-,Khá,-,-,-,-,-,Nhẹ,-,-,Nhẹ,-,-,Nhẹ
Monday 2019-12-02,-
