-,00:00 - 01:00,01:00 - 02:00,02:00 - 03:00,03:00 - 04:00,04:00 - 05:00,05:00 - 06:00,06:00 - 07:00,07:00 - 08:00,08:00 - 09:00,09:00 - 10:00,10:00 - 11:00,11:00 - 12:00,12:00 - 13:00,13:00 - 14:00,14:00 - 15:00,15:00 - 16:00,16:00 - 17:00,17:00 - 18:00,18:00 - 19:00,19:00 - 20:00,20:00 - 21:00,21:00 - 22:00,22:00 - 23:00,23:00 - 00:00
Monday 2019-10-28,-,-,-,-,-,-,-,Khá,-,Khá,-,-,Nhẹ,-,-,-,-,Khá,Nhẹ,-,-,-,Nhẹ,-
Tuesday 2019-10-29,-,-,Nhẹ,-,Khá,-,-,Nhẹ,Nhẹ,-,-,Khá,Khá,Nhẹ,Nhẹ,-,-,-,-,Nhẹ,-,Nhẹ,-,-
Wednesday 2019-10-30,-,Nhẹ,-,-,-,-,-,-,Nhẹ,-,-,-,-,Nhẹ,-,-,Nhẹ,-,-,Nhẹ,-,Khá,-,-
Thursday 2019-10-31,-,Nhẹ,-,-,-,Nhẹ,-,-,-,-,-,-,-,-,-,Nhẹ,-,-,-,Khá,-,-,Khá,-
Friday 2019-11-01,-,-,-,-,-,-,-,-,-,-,-,-,Nhẹ,-,-,-,-,Nhẹ,-,-,-,Nhẹ,Nhẹ,Khá
Saturday 2019-11-02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Khá,Khá,-,-,-,-,-,-,-
Sunday 2019-11-03,-,-,-,-,-,-,-,-,-,-,-,-,Nhẹ,-,-,-,Nhẹ,-,-,-,Khá,Nhẹ,-,Khá
Monday 2019-11-04,Khá,-,-,-,-,Nhẹ,-,-,-,-,-,-,-,Nhẹ,-,-,-,-,-,-,-,Nhẹ,-,Nhẹ
Tuesday 2019-11-05,-,-,-,Nhẹ,-,-,-,-,-,-,-,-,-,-,-,Nhẹ,Nhẹ,-,-,-,-,Khá,-,-
Wednesday 2019-11-06,-,-,-,-,-,-,-,-,-,-,-,Nhẹ,Nhẹ,Nhẹ,-,-,-,-,-,-,-,-,Nhẹ,-
Thursday 2019-11-07,-,-,-,-,-,-,-,-,-,-,-,Mạnh,Nhẹ,-,-,-,-,-,-,-,-,-,-,-
Friday 2019-11-08,-,-,-,-,Nhẹ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Saturday 2019-11-09,-,Nhẹ,-,-,Nhẹ,-,-,-,-,-,Nhẹ,-,-,Nhẹ,-,-,-,-,-,-,-,-,-,-
Sunday 2019-11-10,-,-,-,Nhẹ,-,-,-,-,-,-,-,-,Nhẹ,-,-,-,Nhẹ,-,-,-,-,-,-,Nhẹ
Monday 2019-11-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Nhẹ,-,-,-,-,-
Tuesday 2019-11-12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Khá,-,-,-,Nhẹ,-
Wednesday 2019-11-13,-,-,Nhẹ,-,-,-,-,-,-,Khá,Khá,-,-,-,-,Nhẹ,-,-,-,Nhẹ,-,-,-,-
Thursday 2019-11-14,-,-,-,-,Nhẹ,-,Nhẹ,-,-,-,-,-,-,Nhẹ,-,-,-,-,Nhẹ,-,-,-,-,Nhẹ
Friday 2019-11-15,-,-,-,-,-,-,-,-,-,Khá,-,-,-,-,-,Nhẹ,-,-,-,-,-,-,-,-
Saturday 2019-11-16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Nhẹ,-,-,-,-,-,-,-,-
Sunday 2019-11-17,-,-,-,-,-,-,-,-,-,-,-,-,Nhẹ,-,-,Khá,-,-,-,-,-,-,Nhẹ,-
Monday 2019-11-18,-,-,-,-,-,-,-,-,-,-,-,Nhẹ,-,-,-,-,-,-,-,-,-,-,-,-
Tuesday 2019-11-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Nhẹ,Nhẹ,-,-,-,-,Nhẹ,-,-
Wednesday 2019-11-20,-,-,-,-,-,-,-,-,-,Nhẹ,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Thursday 2019-11-21,Nhẹ,-,-,-,-,-,-,-,Nhẹ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Friday 2019-11-22,-,-,-,-,-,-,Nhẹ,Khá,-,-,-,-,-,-,Khá,-,-,-,Nhẹ,Nhẹ,-,-,Nhẹ,-
Saturday 2019-11-23,-,Nhẹ,Nhẹ,-,-,-,-,-,-,-,Nhẹ,-,-,Nhẹ,-,-,-,-,-,-,-,Khá,Nhẹ,-
Sunday 2019-11-24,-,-,-,-,-,Nhẹ,-,-,-,-,-,-,-,-,-,-,-,-,Nhẹ,-,-,-,-,Nhẹ
Monday 2019-11-25,Nhẹ,-,-,-,-,-,-,-,-,Nhẹ,-,Nhẹ,-,-,Nhẹ,-,Nhẹ,Mạnh,-,Mạnh,-,Khá,Khá,-
Tuesday 2019-11-26,-,-,-,-,Nhẹ,-,-,-,Nhẹ,-,Khá,-,Nhẹ,-,-,-,Nhẹ,-,-,-,-,-,-,-
Wednesday 2019-11-27,-,-,-,-,-,-,-,-,-,-,-,Nhẹ,-,-,-,-,-,Nhẹ,Khá,Nhẹ,-,-,Khá,Khá
Thursday 2019-11-28,Khá,-,Khá,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Khá,-
Friday 2019-11-29,-,-,-,-,-,-,-,Nhẹ,-,-,-,-,Nhẹ,-,Nhẹ,-,Nhẹ,-,-,-,Nhẹ,-,-,-
Saturday 2019-11-30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sunday 2019-12-01,-,-,-,-,Nhẹ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Khá,-,-,-
Monday 2019-12-02,-
