-,00:00 - 02:00,02:00 - 04:00,04:00 - 06:00,06:00 - 08:00,08:00 - 10:00,10:00 - 12:00,12:00 - 14:00,14:00 - 16:00,16:00 - 18:00,18:00 - 20:00,20:00 - 22:00,22:00 - 00:00
Monday 2019-08-26,-,-,-,Khá,-,-,-,-,-,-,-,-
Tuesday 2019-08-27,-,-,-,-,-,-,-,-,-,-,-,-
Wednesday 2019-08-28,-,-,-,-,-,-,-,-,-,-,-,-
Thursday 2019-08-29,-,-,Khá,-,-,-,-,-,-,-,-,Khá
Friday 2019-08-30,Khá,-,-,-,-,Nhẹ,-,-,-,-,-,-
Saturday 2019-08-31,-,-,-,-,Nhẹ,-,-,-,Nhẹ,-,-,-
Sunday 2019-09-01,-,-,Khá,-,-,-,-,-,-,-,-,-
Monday 2019-09-02,-,-,-,-,-,-,-,-,-,-,Nhẹ,-
Tuesday 2019-09-03,Khá,Nhẹ,-,-,-,-,-,-,-,Nhẹ,Nhẹ,-
Wednesday 2019-09-04,-,-,-,-,-,-,-,-,-,-,-,Nhẹ
Thursday 2019-09-05,-,-,-,-,-,-,-,-,-,-,-,-
Friday 2019-09-06,-,-,Nhẹ,-,-,Nhẹ,-,-,-,-,-,-
Saturday 2019-09-07,-,-,-,-,-,-,-,-,-,-,Khá,-
Sunday 2019-09-08,-,-,-,-,-,Khá,-,-,Nhẹ,-,Khá,-
Monday 2019-09-09,-,-,Nhẹ,-,-,-,-,-,Nhẹ,-,-,-
Tuesday 2019-09-10,-,-,-,-,Nhẹ,-,-,-,-,Nhẹ,-,-
Wednesday 2019-09-11,-,-,Nhẹ,-,-,-,-,-,-,-,-,-
Thursday 2019-09-12,-,-,Nhẹ,-,-,-,-,-,-,-,Nhẹ,-
Friday 2019-09-13,-,-,Nhẹ,-,-,-,-,-,-,-,-,Nhẹ
Saturday 2019-09-14,-,-,-,-,-,-,-,-,-,Khá,Khá,-
Sunday 2019-09-15,-,-,-,-,-,-,-,-,Nhẹ,-,-,-
Monday 2019-09-16,-,-,-,Nhẹ,-,-,-,-,-,-,-,-
Tuesday 2019-09-17,-,Nhẹ,-,-,-,-,-,Khá,-,Mạnh,Khá,Mạnh
Wednesday 2019-09-18,-,Khá,-,Mạnh,Khá,-,-,-,Nhẹ,Khá,Khá,-
Thursday 2019-09-19,-,-,Khá,-,-,-,-,Khá,-,-,-,Mạnh
Friday 2019-09-20,-,-,Nhẹ,-,Nhẹ,-,Nhẹ,-,-,-,-,-
Saturday 2019-09-21,Khá,-,-,Khá,-,-,-,-,-,-,-,-
Sunday 2019-09-22,-,-,-,-,-,-,-,-,-,Nhẹ,-,-
Monday 2019-09-23,-,-,Khá,-,-,-,-,-,-,-,Khá,Khá
Tuesday 2019-09-24,-,-,-,-,-,Nhẹ,-,-,-,-,-,-
Wednesday 2019-09-25,-,-,Khá,-,-,-,-,-,Khá,-,Khá,Khá
Thursday 2019-09-26,-,Nhẹ,Nhẹ,-,-,-,Nhẹ,Nhẹ,Nhẹ,-,-,-
Friday 2019-09-27,Khá,-,Khá,-,-,-,Nhẹ,-,-,-,-,Nhẹ
Saturday 2019-09-28,-,Nhẹ,-,Nhẹ,-,-,-,-,-,-,-,Nhẹ
Sunday 2019-09-29,Nhẹ,-,-,-,-,-,-,-,-,-,-,Nhẹ
Monday 2019-09-30,-,-,Nhẹ,-,-,-,-,Nhẹ,Wow!!!,-,Khá,-
Tuesday 2019-10-01,-,-,-,-,Khá,-,-,-,-,-,-,-
Wednesday 2019-10-02,-,-,-,-,-,-,-,-,-,-,Khá,-
Thursday 2019-10-03,-,-,-,-,-,-,-,-,-,Nhẹ,-,Nhẹ
Friday 2019-10-04,-,-,Nhẹ,-,Nhẹ,-,Nhẹ,Nhẹ,Nhẹ,Nhẹ,-,Nhẹ
Saturday 2019-10-05,-,-,-,-,-,Nhẹ,-,-,-,-,Nhẹ,-
Sunday 2019-10-06,-,-,Nhẹ,-,-,-,-,-,-,-,-,Khá
Monday 2019-10-07,-,-,-,-,Nhẹ,Mạnh,-,Nhẹ,Khá,-,Nhẹ,-
Tuesday 2019-10-08,-,-,Nhẹ,-,Khá,-,-,-,-,-,-,-
Wednesday 2019-10-09,Nhẹ,-,Nhẹ,-,-,-,-,Khá,Nhẹ,-,Khá,-
Thursday 2019-10-10,-,-,-,-,-,-,-,-,-,-,Nhẹ,-
Friday 2019-10-11,-,-,-,-,Nhẹ,Khá,-,-,Nhẹ,-,-,-
Saturday 2019-10-12,-,-,-,-,Nhẹ,-,Khá,-,-,Nhẹ,-,-
Sunday 2019-10-13,-,-,-,-,-,-,-,Khá,-,-,-,-
Monday 2019-10-14,-,-,-,-,Khá,-,Khá,-,-,-,Nhẹ,Nhẹ
Tuesday 2019-10-15,-,-,Khá,-,Nhẹ,-,-,-,Nhẹ,Nhẹ,-,-
Wednesday 2019-10-16,Nhẹ,-,-,Nhẹ,-,-,-,Nhẹ,-,-,-,-
Thursday 2019-10-17,-,Nhẹ,-,-,-,-,Nhẹ,Mạnh,-,-,-,-
