-,00:00 - 02:00,02:00 - 04:00,04:00 - 06:00,06:00 - 08:00,08:00 - 10:00,10:00 - 12:00,12:00 - 14:00,14:00 - 16:00,16:00 - 18:00,18:00 - 20:00,20:00 - 22:00,22:00 - 00:00
Monday 2019-08-26,-,Giảm nhẹ,-,Tăng ổn,Tăng nhẹ,Giảm nhẹ,-,-,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ
Tuesday 2019-08-27,-,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,Giảm mạnh,Giảm nhẹ,-,Giảm khá,-,Giảm nhẹ,Tăng nhẹ,-
Wednesday 2019-08-28,Tăng ổn,-,Giảm nhẹ,Giảm nhẹ,Giảm khá,Giảm nhẹ,Giảm khá,Giảm nhẹ,Tăng nhẹ,Giảm khá,Tăng tốt,Tăng tốt
Thursday 2019-08-29,What the *,Giảm mạnh,Giảm nhẹ,Giảm nhẹ,Giảm mạnh,Giảm khá,-,Giảm nhẹ,Giảm nhẹ,Giảm khá,Giảm nhẹ,-
Friday 2019-08-30,Tăng tốt,Giảm nhẹ,Giảm nhẹ,Giảm khá,Giảm mạnh,Tăng ổn,Tăng nhẹ,Tăng nhẹ,Tăng ổn,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ
Saturday 2019-08-31,Giảm nhẹ,-,Giảm nhẹ,Giảm nhẹ,-,-,Giảm nhẹ,Giảm mạnh,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,-
Sunday 2019-09-01,Giảm nhẹ,Giảm khá,Tăng ổn,Giảm nhẹ,-,-,Giảm nhẹ,Tăng ổn,Tăng tốt,Giảm khá,-,Tăng ổn
Monday 2019-09-02,Tăng ổn,Wow!!!,Giảm mạnh,Giảm mạnh,Giảm nhẹ,Tăng ổn,Giảm khá,-,-,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ
Tuesday 2019-09-03,Tăng tốt,Giảm nhẹ,-,-,Tăng ổn,-,Tăng tốt,Giảm khá,Giảm nhẹ,Tăng ổn,Giảm nhẹ,-
Wednesday 2019-09-04,Giảm khá,Tăng tốt,Giảm nhẹ,Giảm mạnh,-,-,Giảm khá,Giảm khá,Tăng tốt,Giảm khá,Giảm khá,Tăng nhẹ
Thursday 2019-09-05,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ,Giảm nhẹ,Giảm khá,Giảm mạnh,-,Giảm khá,Tăng nhẹ,Giảm nhẹ,-,Tăng nhẹ
Friday 2019-09-06,Tăng nhẹ,Giảm khá,-,Tăng ổn,Tăng nhẹ,Giảm khá,Tăng nhẹ,Tăng nhẹ,Tăng nhẹ,Tăng ổn,Tăng nhẹ,Wow!!!
Saturday 2019-09-07,What the *,Giảm mạnh,Giảm nhẹ,Wow!!!,Giảm nhẹ,Giảm mạnh,Tăng tốt,-,Tăng ổn,Tăng tốt,Tăng ổn,Tăng nhẹ
Sunday 2019-09-08,Tăng nhẹ,Giảm mạnh,-,-,Wow!!!,Tăng nhẹ,Tăng ổn,Giảm khá,Tăng ổn,Wow!!!,Tăng tốt,Giảm mạnh
Monday 2019-09-09,Tăng ổn,Tăng nhẹ,Wow!!!,What the *,Giảm mạnh,Tăng tốt,Giảm mạnh,Giảm nhẹ,Wow!!!,Wow!!!,Tăng ổn,Giảm mạnh
Tuesday 2019-09-10,Giảm nhẹ,-,Giảm khá,Wow!!!,-,Giảm khá,Tăng tốt,Giảm khá,Giảm mạnh,Giảm nhẹ,Giảm mạnh,Tăng tốt
Wednesday 2019-09-11,What the *,-,-,Tăng tốt,Giảm mạnh,Giảm khá,Giảm khá,-,-,-,Giảm khá,Tăng nhẹ
Thursday 2019-09-12,Tăng ổn,Giảm nhẹ,Tăng nhẹ,-,Tăng nhẹ,Tăng ổn,Tăng tốt,What the *,Tăng ổn,Giảm khá,Wow!!!,Wow!!!
Friday 2019-09-13,Tăng ổn,Tăng tốt,-,Wow!!!,Giảm khá,-,Giảm khá,Tăng nhẹ,Giảm nhẹ,Tăng tốt,Tăng ổn,Giảm mạnh
Saturday 2019-09-14,Giảm khá,Tăng ổn,Tăng tốt,Giảm khá,Giảm khá,Giảm nhẹ,Tăng nhẹ,-,Giảm khá,Giảm nhẹ,Wow!!!,Tăng nhẹ
Sunday 2019-09-15,Giảm mạnh,-,-,Tăng ổn,Tăng nhẹ,Wow!!!,Tăng nhẹ,Tăng tốt,Giảm khá,Giảm nhẹ,Giảm khá,Tăng tốt
Monday 2019-09-16,-,Giảm khá,Tăng nhẹ,Tăng tốt,-,Giảm nhẹ,-,Giảm mạnh,Giảm mạnh,Giảm mạnh,Giảm nhẹ,Tăng ổn
Tuesday 2019-09-17,Tăng nhẹ,-,Tăng ổn,Giảm khá,Giảm khá,Tăng tốt,Giảm mạnh,Giảm nhẹ,Tăng nhẹ,Giảm khá,Wow!!!,-
Wednesday 2019-09-18,Giảm nhẹ,-,Giảm nhẹ,Giảm nhẹ,Giảm nhẹ,Tăng ổn,Giảm nhẹ,-,Giảm khá,-,Tăng tốt,Giảm khá
Thursday 2019-09-19,-,-,Tăng nhẹ,Giảm mạnh,Giảm mạnh,Giảm nhẹ,Giảm khá,Giảm nhẹ,-,-,Giảm mạnh,Tăng tốt
Friday 2019-09-20,-,Giảm nhẹ,Tăng tốt,Giảm khá,Tăng ổn,Tăng tốt,-,Giảm khá,-,-,Giảm khá,Giảm nhẹ
Saturday 2019-09-21,Giảm khá,Tăng nhẹ,Giảm nhẹ,Tăng tốt,Tăng ổn,Giảm nhẹ,Giảm khá,Giảm nhẹ,Giảm khá,Tăng nhẹ,-,-
Sunday 2019-09-22,Giảm nhẹ,Giảm nhẹ,Giảm nhẹ,Giảm khá,Giảm khá,Giảm khá,Tăng nhẹ,Tăng nhẹ,Giảm mạnh,Tăng ổn,Giảm khá,Giảm nhẹ
Monday 2019-09-23,Giảm khá,-,Tăng ổn,Tăng ổn,Giảm nhẹ,Giảm khá,Giảm khá,-,Tăng nhẹ,Giảm nhẹ,Giảm khá,Giảm nhẹ
Tuesday 2019-09-24,-,Giảm mạnh,Giảm mạnh,Giảm nhẹ,Giảm khá,-,Tăng nhẹ,Giảm khá,Tăng nhẹ,Giảm mạnh,Giảm mạnh,Giảm nhẹ
Wednesday 2019-09-25,What the *,Tăng tốt,Giảm khá,Wow!!!,Giảm nhẹ,Giảm mạnh,Giảm nhẹ,Giảm mạnh,Tăng tốt,Giảm mạnh,Tăng nhẹ,Wow!!!
Thursday 2019-09-26,Giảm khá,Wow!!!,Giảm mạnh,Giảm khá,Giảm mạnh,Tăng tốt,Tăng nhẹ,-,Giảm nhẹ,-,What the *,What the *
Friday 2019-09-27,Tăng tốt,Tăng tốt,Giảm mạnh,Giảm nhẹ,Tăng ổn,-,-,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,Giảm khá,Tăng tốt
Saturday 2019-09-28,Giảm nhẹ,-,Tăng tốt,-,Giảm nhẹ,-,-,Tăng nhẹ,Giảm nhẹ,Giảm mạnh,Tăng nhẹ,Tăng ổn
Sunday 2019-09-29,-,-,Giảm nhẹ,Tăng ổn,Giảm khá,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,Giảm mạnh,Tăng ổn,Tăng ổn
Monday 2019-09-30,Giảm nhẹ,Giảm nhẹ,Tăng ổn,Giảm nhẹ,Tăng tốt,Giảm khá,Giảm khá,Tăng nhẹ,Wow!!!,Tăng nhẹ,Wow!!!,Tăng tốt
Tuesday 2019-10-01,Giảm nhẹ,Giảm khá,Tăng ổn,Tăng nhẹ,Tăng ổn,Giảm nhẹ,Giảm nhẹ,-,Giảm nhẹ,Tăng ổn,Giảm khá,Tăng nhẹ
Wednesday 2019-10-02,Giảm khá,Tăng ổn,-,Giảm khá,Giảm mạnh,Giảm nhẹ,Tăng nhẹ,Tăng tốt,-,Giảm khá,Giảm khá,Tăng tốt
Thursday 2019-10-03,Tăng ổn,-,-,-,Tăng ổn,-,-,-,Giảm khá,-,Giảm mạnh,Tăng tốt
Friday 2019-10-04,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,Giảm khá,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,Tăng ổn
Saturday 2019-10-05,-,-,Giảm nhẹ,Giảm khá,Tăng tốt,-,Tăng ổn,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ,Tăng ổn
Sunday 2019-10-06,-,Tăng tốt,Tăng nhẹ,-,Giảm nhẹ,-,Giảm mạnh,Giảm mạnh,-,Tăng tốt,Giảm nhẹ,-
Monday 2019-10-07,Giảm mạnh,Tăng tốt,Tăng nhẹ,Giảm khá,Giảm nhẹ,Tăng ổn,Tăng nhẹ,-,Tăng ổn,Tăng ổn,-,Tăng tốt
Tuesday 2019-10-08,Tăng tốt,Giảm nhẹ,Tăng ổn,Tăng tốt,Giảm khá,Giảm khá,Giảm nhẹ,Giảm khá,Tăng nhẹ,Tăng tốt,Giảm khá,Giảm nhẹ
Wednesday 2019-10-09,-,Giảm nhẹ,Tăng ổn,Giảm nhẹ,Giảm khá,Tăng ổn,Tăng ổn,Tăng tốt,-,Giảm mạnh,-,Giảm khá
Thursday 2019-10-10,Giảm nhẹ,-,Tăng nhẹ,Giảm nhẹ,Tăng tốt,Tăng ổn,Giảm nhẹ,Giảm mạnh,Giảm mạnh,Giảm khá,Tăng nhẹ,Tăng ổn
