-,00:00 - 01:00,01:00 - 02:00,02:00 - 03:00,03:00 - 04:00,04:00 - 05:00,05:00 - 06:00,06:00 - 07:00,07:00 - 08:00,08:00 - 09:00,09:00 - 10:00,10:00 - 11:00,11:00 - 12:00,12:00 - 13:00,13:00 - 14:00,14:00 - 15:00,15:00 - 16:00,16:00 - 17:00,17:00 - 18:00,18:00 - 19:00,19:00 - 20:00,20:00 - 21:00,21:00 - 22:00,22:00 - 23:00,23:00 - 00:00
Monday 2019-10-28,-,Tăng tốt,Giảm nhẹ,Giảm mạnh,Tăng ổn,Giảm khá,Tăng ổn,-,-,-,Tăng ổn,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,-,Giảm khá,-,Tăng nhẹ,Tăng ổn,Giảm khá,Tăng nhẹ,-,Giảm nhẹ,Giảm nhẹ
Tuesday 2019-10-29,Giảm nhẹ,-,Tăng nhẹ,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,Giảm khá,Tăng nhẹ,Giảm nhẹ,-,Giảm khá,Tăng nhẹ,-,Tăng nhẹ,-,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,-,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,-
Wednesday 2019-10-30,Tăng nhẹ,-,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,-,Giảm nhẹ,Giảm nhẹ,-,-,-,Giảm nhẹ,Giảm mạnh,Tăng nhẹ,-,Tăng nhẹ,Tăng nhẹ,Giảm mạnh,Giảm nhẹ,Tăng tốt,Giảm khá,-,Tăng nhẹ,-
Thursday 2019-10-31,Tăng nhẹ,Tăng tốt,Giảm khá,Tăng ổn,Giảm khá,-,Tăng ổn,Tăng ổn,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,-,-,Giảm nhẹ,Giảm khá,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,-,Giảm khá,Giảm nhẹ
Friday 2019-11-01,Tăng nhẹ,Tăng nhẹ,-,Giảm nhẹ,Tăng nhẹ,-,Tăng nhẹ,-,-,-,Giảm khá,-,-,Tăng nhẹ,Giảm khá,Tăng ổn,-,Tăng ổn,-,Tăng ổn,-,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ
Saturday 2019-11-02,-,Tăng ổn,Giảm nhẹ,-,Giảm nhẹ,Giảm nhẹ,-,Tăng nhẹ,Giảm nhẹ,-,Giảm nhẹ,-,Tăng nhẹ,-,-,-,-,Tăng nhẹ,-,Giảm nhẹ,Tăng nhẹ,-,-,-
Sunday 2019-11-03,Giảm nhẹ,-,-,Giảm nhẹ,-,-,Tăng nhẹ,Giảm nhẹ,-,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ,Giảm nhẹ,-,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,-,-,-,-,Tăng nhẹ,Giảm nhẹ
Monday 2019-11-04,Giảm nhẹ,Tăng nhẹ,-,-,-,-,-,-,-,Giảm nhẹ,Giảm nhẹ,-,Tăng nhẹ,Tăng ổn,Tăng nhẹ,Giảm nhẹ,-,-,Tăng nhẹ,-,Tăng nhẹ,-,Tăng ổn,Tăng ổn
Tuesday 2019-11-05,Giảm nhẹ,-,Tăng nhẹ,Giảm khá,Giảm nhẹ,Tăng ổn,-,Giảm nhẹ,-,-,Giảm nhẹ,-,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,-,Tăng nhẹ,Tăng nhẹ,Tăng nhẹ,Tăng nhẹ,-,Tăng ổn,Giảm nhẹ,Tăng ổn
Wednesday 2019-11-06,-,-,Giảm khá,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,-,-,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,Tăng ổn,-,Tăng nhẹ,Tăng ổn,-,Giảm khá,Tăng nhẹ,-,Giảm nhẹ,Giảm nhẹ,Tăng ổn,Tăng nhẹ,-
Thursday 2019-11-07,Giảm khá,-,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,-,Tăng ổn,Giảm khá,-,Giảm khá,-,-,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,-,Giảm nhẹ,Giảm nhẹ,-,Tăng nhẹ,Giảm nhẹ,-,-,Tăng nhẹ
Friday 2019-11-08,-,Giảm nhẹ,Giảm nhẹ,-,-,-,-,-,Tăng nhẹ,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,-,-,Giảm nhẹ,Giảm khá,Giảm nhẹ,-,Giảm nhẹ,Tăng nhẹ,What the *,Giảm khá,Tăng nhẹ,Giảm nhẹ
Saturday 2019-11-09,Tăng nhẹ,Tăng ổn,Giảm nhẹ,Tăng nhẹ,-,-,Tăng nhẹ,Giảm nhẹ,-,-,Tăng nhẹ,-,Tăng nhẹ,Tăng ổn,Giảm nhẹ,-,Tăng ổn,-,-,-,Tăng nhẹ,Giảm nhẹ,-,Giảm nhẹ
Sunday 2019-11-10,Tăng nhẹ,-,-,Tăng nhẹ,Tăng ổn,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,-,Giảm nhẹ,-,Giảm nhẹ,Tăng ổn,Giảm nhẹ,-,-,Giảm nhẹ,Tăng nhẹ,-,-,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ,-
Monday 2019-11-11,-,-,-,-,Giảm nhẹ,-,Giảm nhẹ,Tăng nhẹ,-,-,-,Giảm nhẹ,-,Giảm khá,-,Giảm nhẹ,Giảm khá,Tăng nhẹ,-,Tăng ổn,Giảm nhẹ,Tăng ổn,-,Tăng nhẹ
Tuesday 2019-11-12,-,Tăng nhẹ,Giảm nhẹ,-,Giảm nhẹ,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,-,-,Giảm nhẹ,-,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,Tăng nhẹ,-,Giảm nhẹ,-,Giảm nhẹ,Giảm nhẹ,-,-,Tăng nhẹ
Wednesday 2019-11-13,Tăng nhẹ,-,-,-,-,-,Tăng nhẹ,Giảm nhẹ,-,-,-,-,-,Tăng nhẹ,-,Tăng nhẹ,-,Tăng nhẹ,Tăng nhẹ,-,-,-,-,Tăng ổn
Thursday 2019-11-14,Giảm nhẹ,-,Tăng nhẹ,Tăng nhẹ,Tăng ổn,-,Giảm nhẹ,Tăng ổn,Tăng ổn,Giảm mạnh,Tăng ổn,Giảm khá,Tăng ổn,-,Giảm nhẹ,Tăng ổn,Tăng nhẹ,-,Tăng nhẹ,Giảm nhẹ,-,Tăng nhẹ,Giảm nhẹ,-
Friday 2019-11-15,-,Giảm khá,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,Giảm khá,Giảm khá,-,Giảm nhẹ,Tăng nhẹ,-,-,-,Tăng ổn,Tăng nhẹ,Tăng nhẹ,-,-,What the *,Tăng tốt,-
Saturday 2019-11-16,Giảm nhẹ,-,Tăng nhẹ,-,Tăng nhẹ,-,Tăng nhẹ,-,Tăng ổn,-,Giảm nhẹ,-,Tăng nhẹ,-,-,Tăng ổn,-,Giảm nhẹ,Giảm nhẹ,-,Tăng nhẹ,Giảm khá,-,-
Sunday 2019-11-17,Tăng ổn,-,Tăng nhẹ,Tăng ổn,Tăng ổn,Giảm khá,Tăng ổn,Giảm khá,Giảm nhẹ,-,-,Tăng nhẹ,-,-,Giảm khá,Tăng tốt,Tăng nhẹ,Giảm nhẹ,Wow!!!,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,-,Giảm nhẹ
Monday 2019-11-18,-,-,Tăng ổn,Giảm nhẹ,-,-,Tăng nhẹ,-,-,Giảm mạnh,-,-,Giảm nhẹ,Giảm nhẹ,-,Tăng ổn,Giảm nhẹ,Giảm nhẹ,-,Giảm nhẹ,Tăng ổn,Giảm nhẹ,Giảm nhẹ,-
Tuesday 2019-11-19,-,Tăng nhẹ,Giảm khá,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,-,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ,Giảm khá,Giảm mạnh,-,Giảm nhẹ,-,-,Giảm khá,Giảm mạnh,Tăng nhẹ,Giảm khá,Tăng tốt,-,-
Wednesday 2019-11-20,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,Tăng ổn,-,Tăng nhẹ,-,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,-,-,-,Giảm nhẹ,Giảm nhẹ,Giảm mạnh,Tăng nhẹ,-,Giảm nhẹ,Tăng ổn,-,Giảm nhẹ
Thursday 2019-11-21,-,Giảm khá,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,-,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,Tăng nhẹ,-,-,Giảm nhẹ,-,Giảm mạnh,Giảm nhẹ,-,Giảm khá,-,Tăng nhẹ,Giảm mạnh,-,Giảm nhẹ
Friday 2019-11-22,Tăng tốt,Giảm khá,Tăng nhẹ,Giảm khá,Tăng nhẹ,-,-,-,Tăng nhẹ,-,-,-,Giảm khá,Giảm nhẹ,-,Tăng nhẹ,Giảm mạnh,Giảm mạnh,Tăng nhẹ,Tăng ổn,Giảm mạnh,Giảm nhẹ,Tăng ổn,Tăng nhẹ
Saturday 2019-11-23,Tăng ổn,Tăng tốt,Tăng ổn,Tăng tốt,Giảm nhẹ,Giảm mạnh,Tăng ổn,Giảm nhẹ,-,Giảm khá,-,Giảm khá,Giảm nhẹ,-,-,Giảm nhẹ,Giảm khá,Tăng tốt,Tăng tốt,-,Giảm khá,Tăng tốt,Tăng nhẹ,Giảm khá
Sunday 2019-11-24,Giảm nhẹ,Tăng ổn,Giảm khá,-,Giảm nhẹ,Tăng ổn,Tăng nhẹ,Giảm mạnh,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,Giảm khá,Tăng nhẹ,Tăng ổn,Giảm khá,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,Tăng tốt,Giảm khá,Giảm khá,Giảm mạnh,Giảm khá,Tăng nhẹ
Monday 2019-11-25,Tăng ổn,-,Giảm nhẹ,Giảm nhẹ,-,-,Giảm mạnh,Tăng ổn,Giảm mạnh,Tăng nhẹ,Tăng nhẹ,Giảm mạnh,Giảm mạnh,Wow!!!,Tăng nhẹ,-,Tăng ổn,Tăng tốt,Giảm nhẹ,Wow!!!,Giảm mạnh,Tăng nhẹ,Tăng ổn,-
Tuesday 2019-11-26,Giảm khá,Tăng nhẹ,Giảm khá,Giảm khá,-,-,Giảm khá,Giảm nhẹ,Tăng ổn,Giảm khá,Tăng nhẹ,Giảm nhẹ,Tăng ổn,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,Giảm khá,Giảm nhẹ,Giảm nhẹ,-,Tăng ổn,-
Wednesday 2019-11-27,Giảm khá,-,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,-,Giảm nhẹ,-,-,-,Giảm khá,Giảm khá,-,-,-,Giảm nhẹ,Giảm mạnh,Tăng nhẹ,Tăng tốt,-,Tăng nhẹ,-,Tăng tốt,-
Thursday 2019-11-28,Tăng nhẹ,Giảm khá,Tăng ổn,Giảm nhẹ,Giảm nhẹ,Giảm nhẹ,-,Tăng nhẹ,Giảm nhẹ,Giảm khá,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,Tăng tốt,Giảm nhẹ,Tăng nhẹ,-,Giảm nhẹ,Tăng nhẹ,-,-,Tăng nhẹ,Tăng nhẹ,-
Friday 2019-11-29,-,-,-,-,Giảm nhẹ,Giảm khá,Tăng nhẹ,Tăng nhẹ,-,-,Tăng nhẹ,Giảm nhẹ,-,-,Tăng nhẹ,-,Tăng ổn,-,Giảm nhẹ,-,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,-
Saturday 2019-11-30,Tăng nhẹ,Tăng nhẹ,-,-,Giảm nhẹ,Tăng nhẹ,-,-,Giảm khá,-,-,-,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,-,Giảm nhẹ,-,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ,-,Tăng nhẹ
Sunday 2019-12-01,Giảm khá,-,-,Tăng nhẹ,Tăng nhẹ,-,-,Giảm nhẹ,Giảm khá,Giảm nhẹ,Giảm mạnh,Tăng ổn,Giảm khá,-,-,-,-,Tăng ổn,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,Giảm khá,Tăng nhẹ
Monday 2019-12-02,-
