-,00:00 - 02:00,02:00 - 04:00,04:00 - 06:00,06:00 - 08:00,08:00 - 10:00,10:00 - 12:00,12:00 - 14:00,14:00 - 16:00,16:00 - 18:00,18:00 - 20:00,20:00 - 22:00,22:00 - 00:00
Monday 2019-08-19,-,Giảm nhẹ,-,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,Tăng ổn,-,-,Tăng nhẹ,-
Tuesday 2019-08-20,Giảm nhẹ,Giảm nhẹ,Tăng ổn,-,-,Giảm khá,-,Giảm nhẹ,Tăng nhẹ,-,Giảm nhẹ,Tăng nhẹ
Wednesday 2019-08-21,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,Giảm khá,Giảm khá,Tăng nhẹ,Giảm khá,Giảm nhẹ,Giảm khá,-,Tăng ổn
Thursday 2019-08-22,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,-,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,-,Tăng nhẹ
Friday 2019-08-23,Tăng ổn,Giảm nhẹ,-,Giảm nhẹ,-,Tăng nhẹ,Tăng tốt,Giảm khá,-,-,Tăng ổn,Giảm nhẹ
Saturday 2019-08-24,-,Giảm nhẹ,-,-,Giảm khá,Giảm nhẹ,-,Giảm khá,Giảm nhẹ,-,Tăng nhẹ,Tăng ổn
Sunday 2019-08-25,-,-,Tăng nhẹ,-,-,Giảm nhẹ,Tăng nhẹ,-,-,Tăng nhẹ,Giảm khá,-
Monday 2019-08-26,Tăng ổn,Giảm khá,-,Tăng tốt,-,Giảm nhẹ,Giảm nhẹ,-,-,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ
Tuesday 2019-08-27,-,Giảm nhẹ,-,Tăng nhẹ,Giảm khá,-,Tăng nhẹ,Giảm nhẹ,-,Giảm nhẹ,-,Tăng nhẹ
Wednesday 2019-08-28,-,Giảm nhẹ,-,-,-,Giảm khá,Tăng ổn,Giảm nhẹ,-,-,Tăng nhẹ,-
Thursday 2019-08-29,What the *,Giảm khá,-,Giảm nhẹ,Giảm mạnh,-,Giảm mạnh,Tăng nhẹ,-,Giảm nhẹ,Giảm mạnh,Tăng ổn
Friday 2019-08-30,Tăng nhẹ,-,Giảm nhẹ,Giảm nhẹ,Giảm nhẹ,Tăng ổn,-,Tăng nhẹ,Tăng nhẹ,Tăng nhẹ,-,-
Saturday 2019-08-31,Giảm nhẹ,-,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,-,-,Giảm khá,-,-,Tăng nhẹ,Tăng nhẹ
Sunday 2019-09-01,Giảm nhẹ,Giảm nhẹ,Tăng ổn,Tăng nhẹ,-,Giảm nhẹ,-,Giảm nhẹ,-,-,Giảm nhẹ,-
Monday 2019-09-02,Tăng nhẹ,-,Tăng ổn,Giảm nhẹ,Tăng nhẹ,-,Tăng nhẹ,Giảm nhẹ,-,Tăng nhẹ,Tăng nhẹ,Tăng nhẹ
Tuesday 2019-09-03,Tăng nhẹ,Tăng ổn,Giảm nhẹ,Giảm khá,Giảm khá,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,-,Tăng ổn,Tăng nhẹ,Tăng nhẹ
Wednesday 2019-09-04,Giảm nhẹ,Tăng nhẹ,-,Giảm khá,Giảm nhẹ,-,Giảm khá,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ
Thursday 2019-09-05,-,Giảm khá,-,Tăng nhẹ,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,-,-,Giảm nhẹ,-,Giảm nhẹ
