-,00:00 - 02:00,02:00 - 04:00,04:00 - 06:00,06:00 - 08:00,08:00 - 10:00,10:00 - 12:00,12:00 - 14:00,14:00 - 16:00,16:00 - 18:00,18:00 - 20:00,20:00 - 22:00,22:00 - 00:00
Monday 2019-09-09,Giảm nhẹ,-,-,-,-,-,-,Giảm nhẹ,Giảm nhẹ,Tăng tốt,Tăng nhẹ,-
Tuesday 2019-09-10,Tăng nhẹ,Tăng ổn,Tăng ổn,-,Tăng nhẹ,Giảm khá,Giảm nhẹ,-,-,-,-,Tăng nhẹ
Wednesday 2019-09-11,Giảm nhẹ,Giảm khá,-,Tăng ổn,Giảm nhẹ,-,Giảm nhẹ,-,Tăng ổn,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ
Thursday 2019-09-12,-,-,Giảm nhẹ,Giảm khá,Giảm nhẹ,-,Giảm nhẹ,Giảm khá,-,Tăng nhẹ,Tăng ổn,Tăng tốt
Friday 2019-09-13,-,Giảm nhẹ,-,-,Giảm khá,Giảm nhẹ,Giảm nhẹ,-,Giảm nhẹ,Tăng nhẹ,-,Tăng nhẹ
Saturday 2019-09-14,Giảm nhẹ,Giảm nhẹ,-,-,-,Tăng nhẹ,-,-,-,Giảm nhẹ,Tăng ổn,Giảm nhẹ
Sunday 2019-09-15,-,Tăng nhẹ,-,Giảm khá,-,-,Tăng nhẹ,-,-,Tăng nhẹ,-,Giảm nhẹ
Monday 2019-09-16,Tăng nhẹ,-,Tăng nhẹ,Tăng nhẹ,Tăng nhẹ,-,-,Giảm nhẹ,-,Giảm khá,-,-
Tuesday 2019-09-17,-,-,Tăng nhẹ,Tăng ổn,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,Tăng ổn,Tăng nhẹ,Tăng tốt
Wednesday 2019-09-18,Tăng nhẹ,Giảm nhẹ,-,Giảm khá,Tăng ổn,-,Tăng nhẹ,-,Tăng nhẹ,Giảm khá,Tăng tốt,Giảm khá
Thursday 2019-09-19,Tăng tốt,Giảm nhẹ,-,Giảm mạnh,Giảm khá,Giảm mạnh,Tăng nhẹ,-,-,Giảm nhẹ,Tăng nhẹ,Tăng tốt
Friday 2019-09-20,Tăng nhẹ,Giảm khá,Giảm nhẹ,Giảm nhẹ,Giảm nhẹ,-,Giảm nhẹ,Tăng ổn,Tăng nhẹ,-,Giảm nhẹ,Tăng nhẹ
Saturday 2019-09-21,Giảm nhẹ,Tăng nhẹ,-,Giảm nhẹ,Giảm nhẹ,-,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ
Sunday 2019-09-22,-,Tăng nhẹ,Giảm nhẹ,Giảm khá,Giảm nhẹ,Giảm khá,Tăng nhẹ,-,Giảm mạnh,Tăng ổn,-,Giảm nhẹ
Monday 2019-09-23,Giảm mạnh,Giảm mạnh,Tăng tốt,-,-,-,Giảm nhẹ,Giảm khá,Tăng nhẹ,-,-,Giảm khá
Tuesday 2019-09-24,Giảm nhẹ,Giảm khá,-,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ,Tăng ổn,-,Giảm mạnh,Giảm nhẹ
Wednesday 2019-09-25,What the *,What the *,Tăng tốt,Tăng tốt,-,Giảm khá,Tăng tốt,What the *,Tăng tốt,-,Tăng nhẹ,Tăng tốt
Thursday 2019-09-26,Giảm mạnh,Tăng tốt,-,Giảm nhẹ,Giảm khá,Tăng ổn,Tăng ổn,Tăng tốt,Tăng nhẹ,Giảm khá,What the *,What the *
Friday 2019-09-27,Tăng tốt,Tăng ổn,Tăng nhẹ,Giảm mạnh,Giảm nhẹ,-,-,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,-,Tăng tốt
Saturday 2019-09-28,Giảm khá,Tăng ổn,Tăng nhẹ,Tăng nhẹ,Giảm khá,Tăng nhẹ,Giảm khá,Tăng nhẹ,-,Giảm nhẹ,Giảm nhẹ,-
Sunday 2019-09-29,Tăng nhẹ,-,Giảm nhẹ,Giảm nhẹ,-,Giảm khá,Tăng tốt,Tăng ổn,Giảm mạnh,Giảm khá,Tăng nhẹ,-
Monday 2019-09-30,Tăng nhẹ,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ,Giảm mạnh,-,Tăng ổn,Tăng tốt,Giảm khá,Tăng tốt,-
Tuesday 2019-10-01,-,-,Giảm nhẹ,Giảm nhẹ,Tăng tốt,-,Giảm nhẹ,Giảm nhẹ,Giảm khá,-,-,Tăng nhẹ
Wednesday 2019-10-02,Giảm khá,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ,-,-,Giảm nhẹ,Tăng ổn,Tăng ổn,-,Giảm khá,Giảm nhẹ
Thursday 2019-10-03,-,Giảm khá,Tăng nhẹ,Tăng ổn,-,Tăng nhẹ,Giảm khá,-,Tăng nhẹ,Tăng nhẹ,Giảm mạnh,Tăng ổn
