-,00:00 - 01:00,01:00 - 02:00,02:00 - 03:00,03:00 - 04:00,04:00 - 05:00,05:00 - 06:00,06:00 - 07:00,07:00 - 08:00,08:00 - 09:00,09:00 - 10:00,10:00 - 11:00,11:00 - 12:00,12:00 - 13:00,13:00 - 14:00,14:00 - 15:00,15:00 - 16:00,16:00 - 17:00,17:00 - 18:00,18:00 - 19:00,19:00 - 20:00,20:00 - 21:00,21:00 - 22:00,22:00 - 23:00,23:00 - 00:00
Monday 2019-10-28,Giảm mạnh,Giảm mạnh,Tăng tốt,Giảm khá,Tăng ổn,Tăng ổn,Giảm mạnh,Wow!!!,Giảm khá,Giảm mạnh,Giảm mạnh,Giảm nhẹ,-,What the *,Tăng ổn,-,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ,Giảm mạnh,-,Giảm khá,Tăng tốt,Giảm mạnh
Tuesday 2019-10-29,-,-,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ,Giảm mạnh,Tăng ổn,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,-,-,Wow!!!,Tăng nhẹ,-,Tăng tốt,Tăng nhẹ,Giảm khá,Giảm mạnh,Tăng ổn,Tăng ổn,-
Wednesday 2019-10-30,Giảm nhẹ,Tăng nhẹ,Giảm mạnh,Tăng ổn,Tăng nhẹ,Tăng tốt,-,Giảm nhẹ,Giảm nhẹ,Giảm khá,Giảm khá,Giảm mạnh,Giảm khá,-,Wow!!!,-,Giảm khá,Giảm mạnh,Giảm nhẹ,Tăng nhẹ,-,-,-,Giảm nhẹ
Thursday 2019-10-31,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,Tăng ổn,Giảm khá,-,Giảm khá,Tăng nhẹ,-,-,Tăng nhẹ,Giảm nhẹ,-,-,Giảm mạnh,Giảm nhẹ,Tăng ổn,Tăng tốt,Giảm mạnh,Giảm nhẹ,-,Tăng ổn
Friday 2019-11-01,Tăng nhẹ,Tăng nhẹ,-,Giảm nhẹ,Giảm khá,Tăng nhẹ,-,-,Giảm khá,Tăng nhẹ,Giảm khá,-,-,-,Giảm nhẹ,Tăng ổn,Tăng nhẹ,-,Tăng nhẹ,-,Giảm nhẹ,Tăng nhẹ,-,Giảm nhẹ
Saturday 2019-11-02,-,-,-,Tăng nhẹ,-,Giảm mạnh,Tăng nhẹ,-,Giảm nhẹ,Tăng nhẹ,Tăng ổn,Giảm nhẹ,-,Giảm nhẹ,-,Tăng nhẹ,-,-,Tăng nhẹ,Tăng ổn,-,Giảm nhẹ,Tăng ổn,Tăng tốt
Sunday 2019-11-03,Giảm nhẹ,Tăng nhẹ,-,-,-,Giảm nhẹ,Giảm nhẹ,Tăng ổn,Giảm nhẹ,Tăng nhẹ,Tăng ổn,Giảm nhẹ,-,Giảm nhẹ,Giảm nhẹ,Giảm nhẹ,-,Giảm khá,-,Tăng nhẹ,Tăng ổn,Giảm nhẹ,Tăng ổn,Giảm nhẹ
Monday 2019-11-04,Giảm khá,-,-,-,Giảm nhẹ,Tăng nhẹ,-,-,Tăng nhẹ,Tăng ổn,Giảm nhẹ,Giảm khá,Giảm nhẹ,Tăng nhẹ,-,-,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,-,Tăng nhẹ,Giảm nhẹ,-
Tuesday 2019-11-05,Tăng ổn,Tăng ổn,Giảm nhẹ,Giảm nhẹ,Tăng ổn,Giảm nhẹ,Tăng nhẹ,-,Tăng tốt,-,-,Giảm nhẹ,Tăng ổn,Giảm nhẹ,Giảm mạnh,Tăng nhẹ,Tăng tốt,Tăng tốt,Giảm nhẹ,-,Giảm nhẹ,Tăng tốt,Tăng tốt,Giảm khá
Wednesday 2019-11-06,Giảm nhẹ,Tăng nhẹ,Tăng ổn,Giảm khá,Tăng nhẹ,Giảm nhẹ,-,Tăng ổn,-,Giảm nhẹ,Tăng tốt,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,Giảm mạnh,Tăng tốt,Giảm khá,Giảm nhẹ,Tăng nhẹ,-,-,Tăng ổn,-,-
Thursday 2019-11-07,-,Giảm nhẹ,Tăng nhẹ,-,Tăng nhẹ,Tăng tốt,Giảm khá,Giảm nhẹ,Tăng tốt,Tăng nhẹ,-,Tăng nhẹ,Giảm khá,-,Tăng ổn,Tăng ổn,Giảm mạnh,Giảm mạnh,Giảm khá,-,Tăng tốt,Wow!!!,-,Giảm khá
Friday 2019-11-08,Tăng tốt,-,Tăng ổn,Giảm khá,Tăng nhẹ,Giảm khá,Giảm nhẹ,-,-,Tăng ổn,Tăng ổn,Giảm nhẹ,Tăng ổn,Tăng nhẹ,Tăng nhẹ,Giảm khá,-,Giảm nhẹ,-,Giảm khá,Giảm mạnh,Giảm mạnh,-,-
Saturday 2019-11-09,-,Tăng ổn,Giảm khá,-,Tăng ổn,Giảm nhẹ,Giảm nhẹ,Giảm mạnh,Tăng nhẹ,Tăng nhẹ,-,Giảm nhẹ,Tăng nhẹ,Tăng ổn,Giảm nhẹ,-,-,Tăng ổn,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,-,Giảm nhẹ
Sunday 2019-11-10,-,-,-,Giảm nhẹ,-,Giảm nhẹ,-,-,-,-,Tăng nhẹ,Tăng nhẹ,Tăng ổn,Tăng nhẹ,-,Tăng tốt,-,Giảm nhẹ,-,-,Giảm nhẹ,Tăng tốt,-,Tăng nhẹ
Monday 2019-11-11,Tăng nhẹ,-,-,-,Tăng ổn,Tăng ổn,Tăng ổn,Tăng ổn,Giảm mạnh,Tăng ổn,Tăng nhẹ,Giảm khá,Giảm khá,Giảm nhẹ,-,-,Giảm khá,Tăng ổn,Tăng ổn,Giảm khá,-,Tăng nhẹ,Giảm khá,Tăng tốt
Tuesday 2019-11-12,-,Tăng ổn,Tăng nhẹ,Tăng nhẹ,Wow!!!,Giảm nhẹ,-,Tăng tốt,Giảm khá,-,Giảm khá,Tăng ổn,Wow!!!,-,Giảm nhẹ,Tăng tốt,Giảm khá,Giảm nhẹ,Giảm nhẹ,Giảm nhẹ,Giảm nhẹ,Tăng tốt,Giảm nhẹ,Tăng tốt
Wednesday 2019-11-13,Tăng nhẹ,Giảm khá,Tăng nhẹ,Tăng tốt,Giảm khá,Giảm nhẹ,Giảm nhẹ,Giảm nhẹ,Giảm mạnh,Giảm nhẹ,Tăng ổn,-,Giảm nhẹ,Giảm mạnh,Tăng tốt,Tăng ổn,Giảm nhẹ,Tăng ổn,Giảm nhẹ,Tăng ổn,Giảm nhẹ,-,-,-
Thursday 2019-11-14,Giảm nhẹ,Giảm nhẹ,-,-,Giảm khá,Tăng nhẹ,Tăng nhẹ,Tăng nhẹ,-,-,Tăng nhẹ,Giảm khá,-,Tăng nhẹ,Tăng tốt,Giảm mạnh,Tăng nhẹ,-,Tăng nhẹ,Tăng ổn,Wow!!!,Tăng nhẹ,-,-
Friday 2019-11-15,Tăng tốt,-,Tăng tốt,Giảm nhẹ,Giảm nhẹ,Tăng tốt,Giảm khá,Tăng nhẹ,-,Giảm mạnh,Tăng ổn,Tăng tốt,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,Wow!!!,Giảm mạnh,What the *,Tăng tốt,Tăng ổn,What the *,What the *,Tăng tốt,Tăng ổn
Saturday 2019-11-16,Tăng tốt,-,-,-,Tăng tốt,Tăng tốt,Tăng ổn,Giảm khá,Giảm nhẹ,Giảm khá,Giảm khá,Giảm nhẹ,Tăng ổn,Tăng nhẹ,Tăng tốt,Giảm mạnh,-,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ,Giảm khá,Tăng nhẹ,Giảm nhẹ
Sunday 2019-11-17,Giảm nhẹ,Tăng nhẹ,-,Giảm khá,Tăng ổn,Giảm khá,Giảm khá,Tăng ổn,-,Giảm nhẹ,Giảm nhẹ,Giảm nhẹ,-,Tăng nhẹ,Giảm khá,-,-,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ
Monday 2019-11-18,Tăng nhẹ,Giảm nhẹ,-,-,Tăng nhẹ,Tăng tốt,Tăng ổn,Giảm mạnh,-,Tăng nhẹ,-,Tăng nhẹ,Giảm nhẹ,Giảm khá,Giảm khá,Tăng ổn,-,Giảm khá,Giảm nhẹ,Giảm nhẹ,Tăng tốt,Giảm khá,Giảm khá,Tăng nhẹ
Tuesday 2019-11-19,-,Giảm nhẹ,Tăng nhẹ,Tăng tốt,-,Giảm nhẹ,-,Giảm mạnh,Tăng nhẹ,Tăng nhẹ,Giảm khá,Tăng nhẹ,Giảm nhẹ,Giảm khá,Giảm khá,Tăng tốt,Giảm nhẹ,Giảm khá,Giảm mạnh,Giảm khá,-,Tăng ổn,-,-
