-,00:00 - 02:00,02:00 - 04:00,04:00 - 06:00,06:00 - 08:00,08:00 - 10:00,10:00 - 12:00,12:00 - 14:00,14:00 - 16:00,16:00 - 18:00,18:00 - 20:00,20:00 - 22:00,22:00 - 00:00
Monday 2019-09-09,-,Giảm nhẹ,Tăng ổn,-,Giảm nhẹ,-,Giảm nhẹ,-,Tăng ổn,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ
Tuesday 2019-09-10,-,-,Tăng nhẹ,-,Tăng nhẹ,-,-,-,-,Tăng nhẹ,Giảm nhẹ,-
Wednesday 2019-09-11,Giảm nhẹ,Giảm khá,Tăng nhẹ,-,Giảm nhẹ,-,Giảm nhẹ,Giảm nhẹ,-,Giảm nhẹ,Giảm nhẹ,-
Thursday 2019-09-12,-,-,Tăng nhẹ,-,Giảm nhẹ,Giảm nhẹ,-,-,Tăng nhẹ,-,Tăng nhẹ,Giảm khá
Friday 2019-09-13,-,-,Tăng nhẹ,-,-,-,-,Giảm nhẹ,-,Tăng nhẹ,-,Tăng nhẹ
Saturday 2019-09-14,-,-,-,-,-,-,-,-,-,Tăng ổn,Tăng ổn,-
Sunday 2019-09-15,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,-,-,-,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,-,Giảm khá,Giảm nhẹ
Monday 2019-09-16,-,-,-,Tăng ổn,-,-,-,Giảm nhẹ,-,Giảm khá,-,-
Tuesday 2019-09-17,-,Tăng nhẹ,-,-,Giảm nhẹ,-,-,Tăng ổn,Tăng nhẹ,Tăng tốt,Tăng ổn,Wow!!!
Wednesday 2019-09-18,Giảm khá,Tăng ổn,Giảm nhẹ,Wow!!!,Tăng tốt,Giảm khá,-,Giảm nhẹ,Tăng nhẹ,Tăng ổn,Tăng tốt,Giảm khá
Thursday 2019-09-19,-,Giảm khá,Tăng tốt,What the *,-,Giảm mạnh,Tăng nhẹ,Tăng ổn,Giảm mạnh,-,-,Tăng tốt
Friday 2019-09-20,-,Giảm khá,Tăng nhẹ,Giảm mạnh,Tăng nhẹ,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,Giảm khá,Giảm nhẹ
Saturday 2019-09-21,Tăng ổn,Giảm nhẹ,Tăng nhẹ,Tăng ổn,Giảm nhẹ,Giảm nhẹ,-,Giảm nhẹ,Giảm nhẹ,-,-,Tăng nhẹ
Sunday 2019-09-22,-,Giảm nhẹ,Giảm nhẹ,Giảm nhẹ,Giảm khá,Giảm khá,-,-,Giảm nhẹ,Tăng nhẹ,-,Giảm khá
Monday 2019-09-23,-,-,Tăng ổn,Giảm khá,-,-,Giảm khá,Tăng nhẹ,-,-,Tăng ổn,Tăng tốt
Tuesday 2019-09-24,Giảm khá,Giảm nhẹ,Giảm mạnh,Giảm nhẹ,-,Tăng ổn,Giảm nhẹ,Giảm nhẹ,-,Giảm nhẹ,Giảm mạnh,Giảm nhẹ
Wednesday 2019-09-25,What the *,Giảm khá,Tăng ổn,Giảm nhẹ,Tăng nhẹ,-,-,Giảm khá,Tăng ổn,-,Tăng tốt,Tăng ổn
Thursday 2019-09-26,Giảm khá,Tăng nhẹ,Tăng nhẹ,Giảm khá,Giảm nhẹ,-,Tăng nhẹ,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,Giảm mạnh,Giảm khá
Friday 2019-09-27,Tăng ổn,-,Tăng ổn,Giảm mạnh,-,-,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,Giảm khá,-,Tăng nhẹ
Saturday 2019-09-28,-,Tăng ổn,-,Tăng nhẹ,Giảm nhẹ,-,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,-,Tăng nhẹ
Sunday 2019-09-29,Tăng nhẹ,-,Giảm nhẹ,-,-,Giảm nhẹ,-,-,-,Giảm nhẹ,-,Tăng ổn
Monday 2019-09-30,-,-,Tăng nhẹ,Giảm nhẹ,-,Giảm nhẹ,-,Tăng ổn,Wow!!!,-,Tăng ổn,Giảm nhẹ
Tuesday 2019-10-01,Tăng nhẹ,Giảm khá,Tăng nhẹ,-,Tăng tốt,Giảm nhẹ,Giảm nhẹ,-,Giảm nhẹ,Giảm nhẹ,-,-
Wednesday 2019-10-02,Giảm khá,Tăng nhẹ,Tăng nhẹ,Giảm khá,Giảm nhẹ,-,-,Tăng nhẹ,-,-,Tăng tốt,-
Thursday 2019-10-03,Giảm nhẹ,-,-,-,-,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,Giảm mạnh,Tăng nhẹ
Friday 2019-10-04,-,-,Tăng ổn,Giảm khá,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,Tăng ổn,Tăng nhẹ,-,Tăng nhẹ
Saturday 2019-10-05,Giảm nhẹ,-,-,Giảm nhẹ,-,Tăng nhẹ,-,Giảm nhẹ,-,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ
Sunday 2019-10-06,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,-,-,Tăng nhẹ,Giảm nhẹ,-,-,Tăng nhẹ,Giảm nhẹ,Tăng ổn
Monday 2019-10-07,Giảm khá,-,-,Tăng nhẹ,Tăng nhẹ,Tăng tốt,-,Tăng nhẹ,Tăng tốt,Tăng nhẹ,Tăng ổn,Tăng nhẹ
Tuesday 2019-10-08,Giảm khá,-,Tăng nhẹ,-,Tăng tốt,Giảm nhẹ,-,Giảm nhẹ,Giảm nhẹ,-,Giảm nhẹ,-
Wednesday 2019-10-09,Tăng ổn,Giảm nhẹ,Tăng ổn,-,Giảm nhẹ,Giảm nhẹ,-,Tăng ổn,Tăng nhẹ,Giảm nhẹ,Tăng ổn,Giảm nhẹ
Thursday 2019-10-10,Tăng nhẹ,-,Giảm nhẹ,Giảm nhẹ,Giảm khá,Tăng nhẹ,-,Giảm khá,Giảm khá,-,Tăng ổn,Giảm nhẹ
